layer,head,group,mean_score,mean_abs,n
0,0,prefix,-5.701559719284433e-06,0.0006705481108312483,80
0,1,prefix,-0.0014481628757561538,0.0025524092236206995,80
0,2,prefix,0.0002884228526227162,0.0007117522174894475,80
0,3,prefix,-0.0006247770861307345,0.0010250959321012943,80
0,4,prefix,-0.00031291906722472616,0.0006204529988458774,80
0,5,prefix,0.0018738266549362947,0.0026374509917289402,80
0,6,prefix,0.00030580863241311815,0.0015924279041882982,80
0,7,prefix,-0.0004643199528295838,0.002208187030397113,80
0,8,prefix,0.00043297300248710255,0.0008702035894692983,80
0,9,prefix,0.0010623890197074104,0.001367836317719906,80
0,10,prefix,-2.216419829039751e-05,0.0007243786744808745,80
0,11,prefix,0.0005545108895713468,0.0012711583489785738,80
0,12,prefix,0.0013780233475092275,0.0024291705538306728,80
0,13,prefix,-0.0015067853570467804,0.002046913103422909,80
0,14,prefix,-0.0006102724474438048,0.0014714841865334448,80
0,15,prefix,0.0007169103847509461,0.0020432254083750934,80
0,16,prefix,0.00010759556388109103,0.0008694325108507428,80
0,17,prefix,-0.0009224189522759829,0.002195069529465421,80
0,18,prefix,8.1297535007252e-05,0.0010984548812729145,80
0,19,prefix,-0.0017924417007648685,0.00267998289376834,80
0,20,prefix,0.0005731356818948541,0.0025468802038666636,80
0,21,prefix,0.0001530308689122961,0.0006584390682110808,80
0,22,prefix,-0.0004677955580620008,0.0006373129900213214,80
0,23,prefix,9.44850394120067e-05,0.003025191153622586,80
0,24,prefix,-0.0010146785230098487,0.0028074622613679877,80
0,25,prefix,0.0014243461700772287,0.003528253100502354,80
0,26,prefix,-0.0004551565003168889,0.0038348955531944283,80
0,27,prefix,-0.0017328656691937283,0.0030948035759692516,80
0,0,entity,-0.0038578841758862836,0.017342583756948214,80
0,1,entity,0.0027872978256326063,0.019563976300388218,80
0,2,entity,-0.003411011602497638,0.011006679627894301,80
0,3,entity,-0.01353128605402958,0.024908545855703325,80
0,4,entity,0.0007154145122484579,0.010450381002104336,80
0,5,entity,0.002647315643992698,0.01865671620214542,80
0,6,entity,0.0050695885408686085,0.014408532665277108,80
0,7,entity,0.009757822703180352,0.02267818306411442,80
0,8,entity,-0.0006706494896661752,0.007478250196683689,80
0,9,entity,0.0006091735032583756,0.009469214101736156,80
0,10,entity,-0.023405072374478662,0.029882495047101543,80
0,11,entity,-0.0009179168232932966,0.011895636974183787,80
0,12,entity,0.005415041378815033,0.013506538236673294,80
0,13,entity,-0.002010037584042834,0.0095931812395321,80
0,14,entity,-0.006367063248217164,0.03310401426897443,80
0,15,entity,0.002860525531296787,0.019687632486066774,80
0,16,entity,0.005206213370348678,0.021173453112311336,80
0,17,entity,-0.0230364285521631,0.03564783750373124,80
0,18,entity,-0.0027391608630296105,0.025288354065133946,80
0,19,entity,0.008649870301246665,0.05729604218743134,80
0,20,entity,0.00134139253084129,0.010406571745497218,80
0,21,entity,0.011369472668198455,0.024445120519149554,80
0,22,entity,-0.010927622651612979,0.03721254247665513,80
0,23,entity,0.0027552085351921106,0.032096779270299435,80
0,24,entity,0.0006879617200780785,0.026600278986259697,80
0,25,entity,-0.004040577622097174,0.014498041366422142,80
0,26,entity,-0.007497004035155896,0.03437043644116215,80
0,27,entity,0.00016128713353324997,0.012515603131608799,80
