pair,set,direction,logodds_rec,entropy_rec
0,circuit,control_to_uncertain,1.1771648095320828,0.9460823884004169
0,circuit,uncertain_to_control,1.2892145394897543,0.3485054630327443
0,random0,control_to_uncertain,0.08276329597873752,0.909442770320304
0,random1,control_to_uncertain,0.3762017324814146,0.7199743711710838
0,random2,control_to_uncertain,0.025942692497877073,0.15225933963820465
0,random3,control_to_uncertain,0.1921953366311195,0.1422222899492468
0,random4,control_to_uncertain,-0.27652414254121244,0.5700451398056249
0,random5,control_to_uncertain,-0.04823141714129106,0.882410291843641
0,random6,control_to_uncertain,0.10252677088984077,0.6091096322505571
0,random7,control_to_uncertain,0.07351420938254132,0.8441616326690022
0,random8,control_to_uncertain,0.1227711656046695,0.08978777546062551
0,random9,control_to_uncertain,-0.030907276215807595,0.47374152859317425
1,circuit,control_to_uncertain,0.7504981275831789,1.0366792022865567
1,circuit,uncertain_to_control,1.0325261024276198,0.6029320096071658
1,random0,control_to_uncertain,-0.1589952381113768,-0.951665798104591
1,random1,control_to_uncertain,-0.08686639480570538,-0.8051410575823241
1,random2,control_to_uncertain,0.08174456456072549,0.39175067389453583
1,random3,control_to_uncertain,-0.15339579241579956,0.06528721449980193
1,random4,control_to_uncertain,-0.053128023372087406,-0.46927838936748983
1,random5,control_to_uncertain,-0.04102628287921455,-0.2013535678376683
1,random6,control_to_uncertain,0.1420192907838535,0.5361725201460756
1,random7,control_to_uncertain,-0.24011130383626927,-0.3799782398664882
1,random8,control_to_uncertain,0.07664062578201274,0.4159198059278084
1,random9,control_to_uncertain,-0.06132244102968778,0.5534527013241498
2,circuit,control_to_uncertain,1.0000622165674942,0.9981165332857759
2,circuit,uncertain_to_control,1.222872854505244,1.2285061686919305
2,random0,control_to_uncertain,-0.23279436522953106,-0.3832783969611188
2,random1,control_to_uncertain,-0.039257672577486476,-0.06967513680043814
2,random2,control_to_uncertain,-0.07737979277156766,-0.07891728683345424
2,random3,control_to_uncertain,-0.4505787709944812,0.43400594675770104
2,random4,control_to_uncertain,-0.15550787230254576,-0.23584226168739075
2,random5,control_to_uncertain,0.11177592703216958,0.1328995293288518
2,random6,control_to_uncertain,0.00043567851574276083,-0.025323927592075742
2,random7,control_to_uncertain,0.18613680340403646,0.6723951843263251
2,random8,control_to_uncertain,-0.013110103556700855,-0.021653015174673187
2,random9,control_to_uncertain,-0.22954234300666337,-0.3231767545989068
3,circuit,control_to_uncertain,0.9081481565186618,0.4731966810868761
3,circuit,uncertain_to_control,1.059719388146686,1.1359519225687602
3,random0,control_to_uncertain,0.004065343328420186,-0.11242669726871671
3,random1,control_to_uncertain,0.07229719476849253,0.17379890728535152
3,random2,control_to_uncertain,-0.1331832290985984,0.24253091033549007
3,random3,control_to_uncertain,-0.04071785623953312,-0.6706700993308318
3,random4,control_to_uncertain,0.2227568785333724,0.129508983060658
3,random5,control_to_uncertain,0.07494345507717785,-0.22496201168213129
3,random6,control_to_uncertain,-0.004485347017577707,-0.23066244881832298
3,random7,control_to_uncertain,-0.09253337157487337,0.02212900676718031
3,random8,control_to_uncertain,0.10917592885761782,-0.21540621956467576
3,random9,control_to_uncertain,0.0215068855219098,-0.2404378911764928
4,circuit,control_to_uncertain,0.7636760953274773,0.23033076496384708
4,circuit,uncertain_to_control,0.7106424034003411,0.1777806183496937
4,random0,control_to_uncertain,-0.12287689289001211,-0.02838354216117374
4,random1,control_to_uncertain,-0.39398159709930425,-0.09213126092991591
4,random2,control_to_uncertain,0.09328223023932787,0.30056452874970074
4,random3,control_to_uncertain,-0.03605584807885717,0.5581661466116882
4,random4,control_to_uncertain,0.11404468527322463,0.047890011035068375
4,random5,control_to_uncertain,0.05226830112352295,0.12912319594886296
4,random6,control_to_uncertain,-0.3956552196053666,-0.1759728709670494
4,random7,control_to_uncertain,0.011317820095714208,0.02216411274592596
