n_neurons,rec_top,rec_random_mean,rec_random_sd,frac_of_window
10,0.2097321241575046,0.00932984733736986,0.004123228133435303,4.060550935550936e-05
30,0.2941132252669259,0.009201689556193762,0.005095477520390556,0.00012181652806652807
100,0.45411851231805256,0.010598919790627055,0.00467646535006085,0.0004060550935550936
300,0.6555352190446121,0.006799314172170311,0.01169927172986023,0.0012181652806652807
