neuron_id,category,is_control_neuron,n_unc,n_ctrl,H_unc,H_ctrl,raw_inter,raw_p,ancova_arm,ancova_p,ancova_H,ancova_H_p,slope_H_unc,matched_window,matched_n_unc,matched_n_ctrl,matched_inter,matched_p,strat_inter,strat_p,strat_bins,ancova_fdr,raw_fdr,strat_fdr
L20_N4060,conflict,False,240,240,1.8284033643702666,0.4809450699637334,-0.0015905056924869565,0.38158816911014665,-0.001979628660656733,0.6246213770616067,0.00028878294028473594,0.9025249163898883,-0.016132224517786762,"[1.30,1.04]",0,0,,,-0.0012271544512580481,0.8043912175648703,1,False,False,False
L22_N11087,conflict,True,240,240,1.8284033643702666,0.4809450699637334,-0.0021502752788364835,0.22791303256548437,-0.0037882179726781637,0.2961364762522256,0.0012155795104315907,0.565227949936778,-0.06307401170159203,"[1.30,1.04]",0,0,,,-0.005012353962542965,0.27345309381237526,1,False,False,False
L22_N2446,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0018284362740814655,0.350589179390242,0.004307847420303241,0.3257215577359238,-0.001840065222437028,0.449299866591658,-0.03487257480003528,"[1.30,1.04]",0,0,,,0.004795529795627956,0.3852295409181637,1,False,False,False
L22_N409,conflict,True,240,240,1.8284033643702666,0.4809450699637334,-0.0011876006765911993,0.5223518109220181,-0.0016677501239989478,0.6951888171384795,0.0003563371492838844,0.8829729556379291,-0.02876872862376082,"[1.30,1.04]",0,0,,,-0.0036306603282105715,0.4870259481037924,1,False,False,False
L22_N9674,conflict,True,240,240,1.8284033643702666,0.4809450699637334,0.00038541390871008307,0.8440548782209558,-0.001513799463007796,0.7091411680300721,0.0014094784080529628,0.558366759718431,-0.02011840483341724,"[1.30,1.04]",0,0,,,-0.003910634019016448,0.500998003992016,1,False,False,False
L26_N8053,conflict,False,240,240,1.8284033643702666,0.4809450699637334,-0.000878088703999916,0.5957532151477676,6.246298665435267e-05,0.9858841660322034,-0.0006980191480201027,0.724417887604357,-0.05416587093525928,"[1.30,1.04]",0,0,,,-9.929097555821898e-05,0.9800399201596807,1,False,False,False
L27_N2286,conflict,True,240,240,1.8284033643702666,0.4809450699637334,0.00024111087744434743,0.8728946747198179,0.0004466583847828851,0.8908418554822257,-0.00015254461543766265,0.9364083304898206,-0.04227089178864874,"[1.30,1.04]",0,0,,,-0.0011224121829263517,0.7964071856287425,1,False,False,False
L27_N45,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0022905370530982845,0.17744212869436063,0.003341298428464829,0.3791935198704257,-0.0007798099427109401,0.7208889418387692,-0.032877306897689196,"[1.30,1.04]",0,0,,,-0.001052667034996878,0.8403193612774451,1,False,False,False
L28_N11622,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0011353205734242978,0.47011752541531526,0.0029232039318900648,0.4074214213283561,-0.0013268561749832917,0.5006088897668747,-0.07132328686261913,"[1.30,1.04]",0,0,,,0.0021351481574812714,0.654690618762475,1,False,False,False
L28_N14222,conflict,False,240,240,1.8284033643702666,0.4809450699637334,-0.0012434117340793054,0.4796587103421858,0.0029136420193499007,0.48380731302567714,-0.003085107547065201,0.19229975034059532,0.028658483654230106,"[1.30,1.04]",0,0,,,0.0011321885913026354,0.844311377245509,1,False,False,False
L28_N4012,conflict,True,240,240,1.8284033643702666,0.4809450699637334,0.0004974720378716822,0.7501678308908456,0.0003007054112322237,0.9347631962379547,0.0001460279902214925,0.943410076224371,0.0589532804388965,"[1.30,1.04]",0,0,,,0.0015261521526411604,0.780439121756487,1,False,False,False
L28_N5085,conflict,False,240,240,1.8284033643702666,0.4809450699637334,-0.00016538136017819546,0.9158834426731983,-0.0005972951397865294,0.8706758798256566,0.00032053962738680906,0.879725541360423,-0.030642465720426792,"[1.30,1.04]",0,0,,,-0.002183820765002877,0.7245508982035929,1,False,False,False
L29_N10877,conflict,False,240,240,1.8284033643702666,0.4809450699637334,-0.001383568967382116,0.3716145136456769,-0.002774058625247427,0.38217195337771315,0.0010319352098965965,0.5668330107700772,0.08375018826290664,"[1.30,1.04]",0,0,,,-0.004583547239989215,0.32335329341317365,1,False,False,False
L29_N11791,conflict,False,240,240,1.8284033643702666,0.4809450699637334,-0.0005716933868825447,0.7034095603149346,-0.0009635476460048252,0.7928607947696591,0.00029080993508215716,0.8842556890721832,0.009066997690932133,"[1.30,1.04]",0,0,,,-0.0013161125525929704,0.782435129740519,1,False,False,False
L29_N12400,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0007110685110092272,0.6761932716986468,0.000546840462749154,0.8817350399805359,0.00012187987482937482,0.9518728172419886,0.05742071420960442,"[1.30,1.04]",0,0,,,0.0010500950750961808,0.8502994011976048,1,False,False,False
L29_N13925,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0032335877263297537,0.02675862357113109,0.006212851586392764,0.09520425609085754,-0.002211024914411306,0.3091015160866023,-0.047153596416604444,"[1.30,1.04]",0,0,,,0.007116718151990093,0.16167664670658682,1,False,False,False
L29_N2646,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0001914371891568063,0.8976635335661246,-0.0022006243817808448,0.4562512314082472,0.001775239783574303,0.2902610402789021,0.08301272591538046,"[1.30,1.04]",0,0,,,-0.0046606128511865125,0.25349301397205587,1,False,False,False
L29_N3447,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0003363988672693525,0.8044986994875496,-0.002644496397962972,0.31405891572502387,0.0022122356421763797,0.1410929946724247,0.12240750707477557,"[1.30,1.04]",0,0,,,-0.001814359387541122,0.6666666666666666,1,False,False,False
L29_N4718,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0019201171894868208,0.17132815767757495,0.004495888262158899,0.11346844882058268,-0.0019115775852688146,0.2691997406500143,-0.1289310578308651,"[1.30,1.04]",0,0,,,0.001354025080313093,0.7125748502994012,1,False,False,False
L29_N578,conflict,False,240,240,1.8284033643702666,0.4809450699637334,0.0001159010920673606,0.9402937879521545,-0.0006925023867389985,0.8263023905730542,0.0005999469387380266,0.75258412874679,0.020838903453184947,"[1.30,1.04]",0,0,,,0.0006026302287781188,0.9101796407185628,1,False,False,False
