subset,neuron_id,category,n,observed_mean_shift,observed_dz,sd_shift,se_shift,mde_alpha05,mde_dz_alpha05,mde_alpha01_over_51,mde_dz_alpha01_over_51
pooled(working+held_out),L20_N1001,ambiguity,120,-0.0011444056406617032,-0.0488575236325099,0.023423324711861027,0.00213824721940908,0.006040018234387515,0.25786340362386684,0.01002476811449377,0.4279822885014039
pooled(working+held_out),L20_N1001,contradictory_context,120,-0.002507737325504426,-0.11850240335720656,0.02116191110441239,0.0019318093453009548,0.005456882424569482,0.25786340362386684,0.009056923143529686,0.4279822885014039
pooled(working+held_out),L20_N1001,lack_of_knowledge,120,0.003485961258411401,0.14295929817921213,0.02438429191252352,0.0022259711215466536,0.0062878165075212445,0.25786340362386684,0.010436045056208092,0.4279822885014039
pooled(working+held_out),L20_N12894,ambiguity,120,0.0011412988106409665,0.04252323028972863,0.026839419368303353,0.0024500925697268005,0.006920904029599037,0.25786340362386684,0.011486796123295374,0.42798228850140396
pooled(working+held_out),L20_N12894,contradictory_context,120,-0.0012683947104960654,-0.07864131127437306,0.01612886013650943,0.0014723567539353447,0.004159042771373627,0.25786340362386684,0.006902866472142373,0.42798228850140396
pooled(working+held_out),L20_N12894,lack_of_knowledge,120,0.0003986005981763168,0.014971272509023272,0.02662436328883052,0.0024304607254174845,0.0068654489369761665,0.25786340362386684,0.01139475593024645,0.4279822885014039
pooled(working+held_out),L20_N1399,ambiguity,120,0.0008451263109842897,0.03088667243384502,0.027362167705000707,0.002497812745711375,0.007055701694938531,0.25786340362386684,0.01171052315274541,0.42798228850140396
pooled(working+held_out),L20_N1399,contradictory_context,120,-0.00046879973572989584,-0.025656929712203416,0.018271856414172456,0.0016679846542562852,0.004711643085485092,0.25786340362386684,0.007820030923306584,0.42798228850140396
pooled(working+held_out),L20_N1399,lack_of_knowledge,120,0.0020801469683647167,0.07248527622939499,0.02869751039896229,0.0026197122982917873,0.0074000377070077275,0.2578634036238668,0.012282026174840716,0.42798228850140385
pooled(working+held_out),L20_N2742,ambiguity,120,-0.002076282848914465,-0.08599698919414943,0.024143669079239337,0.0022040053626065613,0.006225768684740966,0.2578634036238668,0.010333062745353434,0.42798228850140385
pooled(working+held_out),L20_N2742,contradictory_context,120,-0.002307207059736056,-0.12342926548043313,0.018692544679380033,0.0017063880630116028,0.004820123193416137,0.2578634036238668,0.008000078049795807,0.42798228850140385
pooled(working+held_out),L20_N2742,lack_of_knowledge,120,0.002651498218377431,0.10084910887615861,0.02629173671364252,0.0024000962123414587,0.0067796767161624385,0.2578634036238668,0.011252397647381106,0.4279822885014039
pooled(working+held_out),L20_N4769,ambiguity,120,-0.0018203868220249793,-0.07161290279768234,0.025419816135199225,0.0023205011174804013,0.006554840308115361,0.25786340362386684,0.010879231082827477,0.4279822885014039
pooled(working+held_out),L20_N4769,contradictory_context,120,-0.0016921532961229507,-0.08402661345623709,0.020138301741795907,0.0018383670223045326,0.005192931030343939,0.25786340362386684,0.008618836465985621,0.4279822885014039
pooled(working+held_out),L20_N4769,lack_of_knowledge,120,0.001175352931022646,0.047644385009504284,0.024669285389835177,0.002251987347590892,0.0063613058955914285,0.2578634036238668,0.010558017216835906,0.42798228850140385
pooled(working+held_out),L20_N5595,ambiguity,120,0.002962168430288629,0.11556682146030103,0.025631650960532642,0.002339838902863781,0.006609464757181902,0.2578634036238668,0.010969892636157969,0.42798228850140396
pooled(working+held_out),L20_N5595,contradictory_context,120,-0.001117168149600426,-0.06533377324475743,0.017099397357859945,0.0015609542754406883,0.004409308802614721,0.25786340362386684,0.00731823921321176,0.42798228850140396
pooled(working+held_out),L20_N5595,lack_of_knowledge,120,0.0014237384001413906,0.050547178008605566,0.028166525931457572,0.0025712402698689204,0.007263116244945555,0.25786340362386684,0.012054774227279349,0.4279822885014039
pooled(working+held_out),L23_N12855,ambiguity,120,-0.00022356398403643984,-0.01054736200485651,0.021196199005353213,0.0019349393881000867,0.0054657240194092,0.25786340362386684,0.00907159775784225,0.4279822885014039
pooled(working+held_out),L23_N12855,contradictory_context,120,-0.0017966433583448314,-0.10133073621045942,0.01773048756512815,0.0016185646658309226,0.004572043871454592,0.25786340362386684,0.00758833464436923,0.4279822885014039
pooled(working+held_out),L23_N12855,lack_of_knowledge,120,0.001410378019014992,0.05344037667854071,0.026391618223404804,0.0024092141050038713,0.0068054325022288325,0.25786340362386684,0.011295145164508144,0.42798228850140396
pooled(working+held_out),L28_N11622,ambiguity,120,0.002636704097191488,0.10281247838152553,0.025645759529373233,0.0023411268330984654,0.006613102840763399,0.25786340362386684,0.010975930853737844,0.42798228850140396
pooled(working+held_out),L28_N11622,contradictory_context,120,-0.0014537286013364791,-0.07858409868229292,0.01849901730391727,0.0016887215115056482,0.004770219565684916,0.25786340362386684,0.007917251760757584,0.4279822885014039
pooled(working+held_out),L28_N11622,lack_of_knowledge,120,-0.00135819017887115,-0.06217034046396385,0.021846272173117753,0.0019942826777689998,0.005633354099053513,0.2578634036238668,0.009349817559875474,0.4279822885014039
pooled(working+held_out),L29_N11909,ambiguity,120,0.0016317203020056105,0.06641140329630185,0.024569881391084437,0.0022429130455205596,0.006335673242139741,0.25786340362386684,0.010515474065964377,0.42798228850140396
pooled(working+held_out),L29_N11909,contradictory_context,120,0.0017523548100143648,0.09674679805222416,0.018112793862887736,0.001653464296357458,0.0046706266746217185,0.25786340362386684,0.007751954968592878,0.42798228850140396
pooled(working+held_out),L29_N11909,lack_of_knowledge,120,-0.00013119429349899107,-0.00578039957646427,0.022696405631397448,0.0020718888897672772,0.005852572406140044,0.25786340362386684,0.009713659622881631,0.4279822885014039
pooled(working+held_out),L29_N13925,ambiguity,120,0.0036061019947131413,0.21516595801040575,0.016759630696500535,0.0015299379646548936,0.004321695414878666,0.25786340362386684,0.007172825099926677,0.4279822885014039
pooled(working+held_out),L29_N13925,contradictory_context,120,-0.0011104930502673033,-0.05936524716364155,0.018706113480942914,0.001707626719460653,0.004823622090770239,0.25786340362386684,0.00800588525654091,0.4279822885014039
pooled(working+held_out),L29_N13925,lack_of_knowledge,120,-0.0015253653128941937,-0.06593160480773698,0.023135570828926557,0.0021119790039602617,0.0059658170387280485,0.25786340362386684,0.009901614549150312,0.42798228850140396
pooled(working+held_out),L30_N10312,ambiguity,120,0.0008318283284703897,0.042860352666157744,0.01940787410102661,0.001771688406392095,0.005004580472794216,0.25786340362386684,0.008306226372704496,0.4279822885014039
pooled(working+held_out),L30_N10312,contradictory_context,120,-0.0011849941375354882,-0.07649812786050682,0.015490498534765544,0.0014140825790819687,0.003994432676005165,0.25786340362386684,0.006629659012936602,0.4279822885014039
pooled(working+held_out),L30_N10312,lack_of_knowledge,120,0.000893116494019829,0.05498475279072092,0.016242984621921388,0.001482774846439311,0.004188471299618777,0.25786340362386684,0.006951709730583027,0.4279822885014039
pooled(working+held_out),L30_N13098,ambiguity,120,-0.00023858485122522298,-0.010767990714308428,0.022156858930811776,0.002022635239977568,0.005713443057512996,0.25786340362386684,0.009482743191211594,0.4279822885014039
pooled(working+held_out),L30_N13098,contradictory_context,120,-0.0032726149074733227,-0.20995081554488276,0.015587531293841111,0.001422940417575744,0.004019453873523406,0.25786340362386684,0.006671187315225369,0.42798228850140396
pooled(working+held_out),L30_N13098,lack_of_knowledge,120,0.0010548104842503828,0.06845975240960271,0.01540774611540118,0.0014065283512863036,0.00397309385548976,0.2578634036238668,0.006594242443118013,0.4279822885014039
pooled(working+held_out),L30_N13647,ambiguity,120,0.001507411835094284,0.06171491728511999,0.024425404770942377,0.002229724194873241,0.006298418009125837,0.25786340362386684,0.01045364063144103,0.42798228850140396
pooled(working+held_out),L30_N13647,contradictory_context,120,-0.0007351222603271438,-0.056032638510298716,0.013119536753423264,0.001197644370644669,0.0033830484012061382,0.2578634036238668,0.005614929363808367,0.4279822885014039
pooled(working+held_out),L30_N13647,lack_of_knowledge,120,-0.0006463532646497123,-0.05031529911556525,0.012846058276731185,0.0011726793155319353,0.003312528310388449,0.25786340362386684,0.005497885419497813,0.4279822885014039
pooled(working+held_out),L30_N1457,ambiguity,120,0.003769362469514197,0.1282211617891275,0.029397350772045642,0.0026835986914568845,0.007580500927604397,0.2578634036238668,0.012581545459298606,0.42798228850140385
pooled(working+held_out),L30_N1457,contradictory_context,120,0.002931542694568634,0.12320904785114123,0.023793242019940507,0.002172015895083533,0.006135406370508267,0.2578634036238668,0.010183086170561904,0.4279822885014039
pooled(working+held_out),L30_N1457,lack_of_knowledge,120,0.0021793752908706603,0.10598711837672822,0.020562643123517448,0.001877103913446499,0.005302353143333109,0.25786340362386684,0.008800447061640654,0.4279822885014039
pooled(working+held_out),L30_N1777,ambiguity,120,0.0002774178360899244,0.011348297129422605,0.024445767759346575,0.002231583072887773,0.006303668878623696,0.2578634036238668,0.010462355629818983,0.42798228850140385
pooled(working+held_out),L30_N1777,contradictory_context,120,0.0005934429975847386,0.041597018533947386,0.014266479149231065,0.0013023454077018275,0.00367880287114965,0.2578634036238668,0.006105800395145473,0.4279822885014039
pooled(working+held_out),L30_N1777,lack_of_knowledge,120,0.00024240563313166242,0.013715024392558568,0.017674458768238553,0.0016134499598432048,0.00455759609518769,0.25786340362386684,0.007564355311654441,0.42798228850140396
pooled(working+held_out),L31_N3330,ambiguity,120,-0.000879228860139836,-0.06378714440755438,0.01378379402787167,0.0012582824861783843,0.0035543360428773175,0.25786340362386684,0.005899219712280502,0.4279822885014039
pooled(working+held_out),L31_N3330,contradictory_context,120,0.0003598341097434359,0.06489494927629708,0.005544870806684883,0.0005061751365455296,0.00142981925886638,0.25786340362386684,0.002373106497289622,0.4279822885014039
pooled(working+held_out),L31_N3330,lack_of_knowledge,120,0.0008919015526771471,0.11386544002079878,0.007832943450745295,0.0007150466366059257,0.0020198294586024584,0.25786340362386684,0.0033523610637520556,0.42798228850140396
pooled(working+held_out),L31_N6772,ambiguity,120,-0.000760458658138904,-0.05144664306621413,0.014781502014818726,0.0013493603478873797,0.0038116084202142017,0.25786340362386684,0.006326221059790231,0.4279822885014039
pooled(working+held_out),L31_N6772,contradictory_context,120,-0.0002892996805409639,-0.022977024355456677,0.012590824471675324,0.0011493797634541066,0.0032467128526968737,0.25786340362386684,0.005388649871507085,0.4279822885014039
pooled(working+held_out),L31_N6772,lack_of_knowledge,120,-0.00012789318958918885,-0.009150113472451904,0.013977224432706192,0.0012759401855175884,0.00360421466543229,0.25786340362386684,0.005982004499607334,0.42798228850140396
held_out_only,L20_N1001,ambiguity,36,-0.007207237804929396,-0.30626439152323626,0.023532731863092165,0.003922121977182028,0.011304025475917112,0.48035330286688527,0.019657415655162696,0.8353222978753535
held_out_only,L20_N1001,contradictory_context,36,-0.00023905436197918045,-0.010865454273027503,0.022001322353600167,0.003666887058933361,0.010568407859990872,0.48035330286688516,0.018378195144705668,0.8353222978753533
held_out_only,L20_N1001,lack_of_knowledge,36,0.004777338769700785,0.19774824038056846,0.024158691680425316,0.004026448613404219,0.011604707341635042,0.4803533028668852,0.020180293848155055,0.8353222978753533
held_out_only,L20_N12894,ambiguity,36,-0.0005555434359444614,-0.020650102582060237,0.026902696184525954,0.004483782697420992,0.012922798968261392,0.4803533028668852,0.02247242199590072,0.8353222978753533
held_out_only,L20_N12894,contradictory_context,36,0.002169451572828827,0.19803784382438594,0.010954732342736634,0.001825788723789439,0.005262141862856234,0.48035330286688527,0.00915073219314422,0.8353222978753535
held_out_only,L20_N12894,lack_of_knowledge,36,4.686580763922189e-05,0.0018985365263342123,0.024685228326743178,0.004114204721123863,0.01185763095877428,0.4803533028668852,0.020620121649472873,0.8353222978753533
held_out_only,L20_N1399,ambiguity,36,-0.0016267680459552414,-0.060815559325058804,0.026749207998896726,0.004458201333149454,0.012849070411343349,0.48035330286688527,0.022344209891984195,0.8353222978753533
held_out_only,L20_N1399,contradictory_context,36,0.0022462841847704345,0.1889537431012677,0.011888011043880528,0.001981335173980088,0.0057104453694460195,0.4803533028668852,0.009930320702341861,0.8353222978753534
held_out_only,L20_N1399,lack_of_knowledge,36,0.0031979944970872637,0.1038636367842211,0.03079031888447316,0.00513171981407886,0.01479023137248131,0.4803533028668852,0.025719839922893006,0.8353222978753534
held_out_only,L20_N2742,ambiguity,36,-0.000175339480241136,-0.01379760167000331,0.012707967981300184,0.0021179946635500307,0.006104314392544168,0.48035330286688527,0.010615249015466085,0.8353222978753534
held_out_only,L20_N2742,contradictory_context,36,-0.0007596298431356835,-0.03803248690125192,0.019973183586653093,0.003328863931108849,0.009594184704615474,0.4803533028668852,0.016684045609489356,0.8353222978753535
held_out_only,L20_N2742,lack_of_knowledge,36,0.0050609078672197196,0.24136832595701874,0.02096757247312115,0.0034945954121868585,0.01007184269056453,0.48035330286688527,0.017514680819115565,0.8353222978753534
held_out_only,L20_N4769,ambiguity,36,-0.000760496904452641,-0.05405247090201452,0.014069604807359463,0.0023449341345599104,0.006758381139246925,0.4803533028668852,0.011752654617881626,0.8353222978753534
held_out_only,L20_N4769,contradictory_context,36,0.0015800377974907402,0.10789527391519163,0.01464417986215679,0.0024406966436927983,0.007034380164563742,0.48035330286688516,0.012232609972956785,0.8353222978753533
held_out_only,L20_N4769,lack_of_knowledge,36,-0.0017035272386338915,-0.07797842043314322,0.021846136779526765,0.0036410227965877943,0.010493863956927422,0.48035330286688527,0.01824856517437357,0.8353222978753534
held_out_only,L20_N5595,ambiguity,36,0.00042219087481498604,0.02372757138998262,0.0177932611760354,0.002965543529339233,0.008547051774681723,0.48035330286688527,0.014863107812262202,0.8353222978753534
held_out_only,L20_N5595,contradictory_context,36,-0.0003401368545989113,-0.017664455420381055,0.019255439610465722,0.0032092399350776204,0.00924941401504106,0.4803533028668852,0.016084498062014327,0.8353222978753534
held_out_only,L20_N5595,lack_of_knowledge,36,-0.0008578565385606615,-0.04335530698669464,0.019786655848704524,0.0032977759747840874,0.00950458548961559,0.48035330286688527,0.016528234830808664,0.8353222978753534
held_out_only,L23_N12855,ambiguity,36,0.0009030985335509111,0.05905556501986052,0.015292352773988311,0.0025487254623313854,0.00734573216359086,0.48035330286688527,0.012774043259088451,0.8353222978753534
held_out_only,L23_N12855,contradictory_context,36,0.001466581960105246,0.2506265841835259,0.005851661605982367,0.0009752769343303945,0.002810864979692972,0.4803533028668852,0.004888023419098171,0.8353222978753533
held_out_only,L23_N12855,lack_of_knowledge,36,-0.0015694797039032037,-0.0710308413884604,0.022095749863356957,0.0036826249772261596,0.010613766426184043,0.48035330286688527,0.01845707254913836,0.8353222978753535
held_out_only,L28_N11622,ambiguity,36,-0.0006530359387397741,-0.10159632827475164,0.006427751374771526,0.0010712918957952544,0.003087591602878665,0.48035330286688527,0.005369244048545613,0.8353222978753534
held_out_only,L28_N11622,contradictory_context,36,0.001784233376383775,0.14149032217058588,0.012610285629519156,0.002101714271586526,0.006057392352234346,0.48035330286688527,0.010533652768914489,0.8353222978753534
held_out_only,L28_N11622,lack_of_knowledge,36,-0.002602507670720407,-0.10108640919142609,0.025745376569782694,0.004290896094963782,0.012366876668846836,0.4803533028668852,0.02150568711593716,0.8353222978753533
held_out_only,L29_N11909,ambiguity,36,-0.000889874373873062,-0.0655865244488796,0.013567945265443375,0.002261324210907229,0.006517407321372843,0.4803533028668852,0.01133360721657718,0.8353222978753533
held_out_only,L29_N11909,contradictory_context,36,0.003742681402299148,0.15397994154345787,0.024306291876613345,0.0040510486461022245,0.011675607583377764,0.48035330286688527,0.020303587583201697,0.8353222978753535
held_out_only,L29_N11909,lack_of_knowledge,36,-0.0012600951724582132,-0.0471694994738034,0.02671419426780295,0.004452365711300491,0.01283225144996676,0.4803533028668852,0.022314962141669753,0.8353222978753534
held_out_only,L29_N13925,ambiguity,36,0.0002662344939179073,0.022109323481027763,0.012041729551171741,0.00200695492519529,0.005784284562135121,0.4803533028668852,0.010058725199078326,0.8353222978753533
held_out_only,L29_N13925,contradictory_context,36,0.002349212765693649,0.13374004014590907,0.01756551563115041,0.0029275859385250683,0.008437653449983,0.48035330286688527,0.014672866880378,0.8353222978753534
held_out_only,L29_N13925,lack_of_knowledge,36,-0.0008649064434899223,-0.040651123411619965,0.0212763232821923,0.0035460538803653834,0.01022015216146468,0.4803533028668852,0.017772587254419752,0.8353222978753533
held_out_only,L30_N10312,ambiguity,36,-0.000754540786147111,-0.15991372514518415,0.004718424171921895,0.0007864040286536491,0.0022665106353096298,0.48035330286688516,0.003941404921640409,0.8353222978753534
held_out_only,L30_N10312,contradictory_context,36,0.0010863482538196788,0.08880800519701718,0.01223254875964905,0.002038758126608175,0.005875945199177641,0.4803533028668852,0.010218120738782347,0.8353222978753533
held_out_only,L30_N10312,lack_of_knowledge,36,-0.0020072029696570504,-0.10400824219702902,0.019298499111778913,0.003216416518629819,0.009270097788716652,0.48035330286688527,0.01612046662359663,0.8353222978753535
held_out_only,L30_N13098,ambiguity,36,0.0013555110328727347,0.1550054593926843,0.008744924457394368,0.001457487409565728,0.004200653346430789,0.4803533028668852,0.007304830392497042,0.8353222978753534
held_out_only,L30_N13098,contradictory_context,36,-0.001346095413383518,-0.12785688760589037,0.010528141569758525,0.0017546902616264208,0.005057227576083661,0.4803533028668852,0.008794391408407721,0.8353222978753534
held_out_only,L30_N13098,lack_of_knowledge,36,0.004395527972115407,0.2604756337731506,0.01687500634298674,0.002812501057164457,0.00810596503275332,0.4803533028668853,0.014096069075084849,0.8353222978753534
held_out_only,L30_N13647,ambiguity,36,0.0017406706594758502,0.17893760040712292,0.009727808216470079,0.0016213013694116798,0.004672784806437027,0.48035330286688527,0.008125855112672529,0.8353222978753533
held_out_only,L30_N13647,contradictory_context,36,-0.0009902666529847592,-0.21143752849883665,0.004683495214948125,0.0007805825358246874,0.002249732395461584,0.48035330286688516,0.003912227985038689,0.8353222978753534
held_out_only,L30_N13647,lack_of_knowledge,36,-0.004445830980936684,-0.28802548526370514,0.015435547228976111,0.0025725912048293518,0.007414516092996473,0.4803533028668852,0.012893656780271868,0.8353222978753533
held_out_only,L30_N1457,ambiguity,36,0.005455267098214875,0.22088434190269546,0.024697391635927022,0.00411623193932117,0.01186347364451453,0.48035330286688516,0.020630281932850093,0.8353222978753534
held_out_only,L30_N1457,contradictory_context,36,0.0021761107361978923,0.11679207866396335,0.018632348709701832,0.003105391451616972,0.008950110242872822,0.4803533028668852,0.01556401633900301,0.8353222978753534
held_out_only,L30_N1457,lack_of_knowledge,36,0.0018354886107974624,0.07353126561611409,0.024962015755039885,0.004160335959173314,0.011990586714148634,0.48035330286688516,0.02085132836010069,0.8353222978753534
held_out_only,L30_N1777,ambiguity,36,-0.00045163619021574967,-0.032762773185722564,0.013785041567011326,0.002297506927835221,0.006621690246871193,0.48035330286688516,0.011514952598063163,0.8353222978753534
held_out_only,L30_N1777,contradictory_context,36,0.0027267803541488065,0.1618528991473691,0.016847275325393082,0.002807879220898847,0.008092644346860346,0.4803533028668852,0.014072904737746092,0.8353222978753534
held_out_only,L30_N1777,lack_of_knowledge,36,-0.002004361814922744,-0.14462303125540615,0.013859215904436513,0.0023098693174060853,0.006657320134841344,0.48035330286688516,0.01157691207604455,0.8353222978753533
held_out_only,L31_N3330,ambiguity,36,0.0002523006664382244,0.05781271216805379,0.004364103619716374,0.0007273506032860624,0.0020963115877840896,0.48035330286688527,0.0036454330637876293,0.8353222978753535
held_out_only,L31_N3330,contradictory_context,36,-8.58011965950321e-05,-0.014795419317369165,0.005799173024741875,0.0009665288374569791,0.0027856519163313048,0.48035330286688527,0.0048441785368041465,0.8353222978753534
held_out_only,L31_N3330,lack_of_knowledge,36,0.002890050411224353,0.2604217886759433,0.011097575306268235,0.0018495958843780392,0.005330756952179932,0.4803533028668852,0.009270052105676762,0.8353222978753535
held_out_only,L31_N6772,ambiguity,36,-6.317347288131184e-05,-0.005078746600943552,0.012438792057389748,0.002073132009564958,0.005975014848441543,0.48035330286688516,0.010390400364172499,0.8353222978753534
held_out_only,L31_N6772,contradictory_context,36,0.00044771268342931267,0.080123654221703,0.005587771648438386,0.000931295274739731,0.0026841045669933187,0.4803533028668852,0.004667590253376304,0.8353222978753534
held_out_only,L31_N6772,lack_of_knowledge,36,-0.0021936794122060285,-0.15397784535355297,0.014246721060221734,0.0023744535100369557,0.006843459516300723,0.48035330286688527,0.01190060377321361,0.8353222978753534
