neuron_id,layer,neuron_idx,category,prompt_id,split,is_control,orig_entropy,ablated_entropy,entropy_shift,frozen_norm_ablated_entropy,shift_under_frozen_norm,norm_pathway_share,orig_top1_prob,ablated_top1_prob,frozen_norm_top1_prob,orig_activation,mean_val,mean_source,precision
L31_N11541,31,11541,lack_of_knowledge,lok_0000,working,False,4.044427871704102,4.017516136169434,-0.02691173553466797,4.0153961181640625,-0.029031753540039062,-0.07877671072681526,0.14213667809963226,0.1396663933992386,0.141380175948143,2.984375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0001,working,False,2.6345889568328857,2.634950876235962,0.0003619194030761719,2.6572937965393066,0.0227048397064209,-61.73451910408432,0.2704528570175171,0.26978200674057007,0.27740707993507385,2.796875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0002,working,False,3.6772189140319824,3.6166605949401855,-0.060558319091796875,3.6606454849243164,-0.016573429107666016,0.7263228346456693,0.1903911978006363,0.189116433262825,0.19028010964393616,5.71875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0003,working,False,2.2228846549987793,2.1908793449401855,-0.03200531005859375,2.2314109802246094,0.008526325225830078,1.2664034564958284,0.3681485950946808,0.3890555500984192,0.3637070655822754,4.9375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0004,working,False,3.0926129817962646,2.9585962295532227,-0.134016752243042,3.027769088745117,-0.06484389305114746,0.5161508396088289,0.28580066561698914,0.29775914549827576,0.29127538204193115,7.125,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0005,working,False,1.8770798444747925,1.87595534324646,-0.0011245012283325195,1.8760273456573486,-0.0010524988174438477,0.06403053111417364,0.4893959164619446,0.48949527740478516,0.4894903600215912,1.625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0006,working,False,2.4075398445129395,2.4078845977783203,0.0003447532653808594,2.406984329223633,-0.0005555152893066406,2.61134163208852,0.2579793632030487,0.25813862681388855,0.25818365812301636,-0.8671875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0007,working,False,2.113173007965088,2.117786169052124,0.004613161087036133,2.117464542388916,0.004291534423828125,0.06971936534187813,0.5010701417922974,0.4991193413734436,0.4991375803947449,2.203125,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0008,working,False,3.392334222793579,3.344520092010498,-0.047814130783081055,3.3659677505493164,-0.026366472244262695,0.4485631797035109,0.21907633543014526,0.21460752189159393,0.21236369013786316,6.40625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0009,working,False,3.6822702884674072,3.66178035736084,-0.020489931106567383,3.66178035736084,-0.020489931106567383,-0.0,0.24501986801624298,0.2592953145503998,0.2592953145503998,0.0021820068359375,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0010,working,False,3.358309507369995,3.353851079940796,-0.004458427429199219,3.353950262069702,-0.004359245300292969,0.022245989304812835,0.18222491443157196,0.1813122183084488,0.181274875998497,1.7890625,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0011,working,False,2.8617026805877686,2.8588380813598633,-0.0028645992279052734,2.8601841926574707,-0.0015184879302978516,0.46991260923845196,0.27499616146087646,0.275221049785614,0.27513331174850464,1.046875,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0012,working,False,2.742555618286133,2.7430992126464844,0.0005435943603515625,2.7430992126464844,0.0005435943603515625,0.0,0.22649447619915009,0.2264089733362198,0.2264089733362198,2.8125,1.5949835096086775,pooled_controls,bf16
L31_N11541,31,11541,lack_of_knowledge,lok_0013,working,False,2.598940849304199,2.5982959270477295,-0.0006449222564697266,2.584711790084839,-0.014229059219360352,-21.063216266173754,0.2619326412677765,0.2540562152862549,0.2561836838722229,3.609375,1.5949835096086775,pooled_controls,bf16
