neuron_id,layer,neuron_idx,kind,sets,freq_corr,freq_slope,direct_logit_std,abs_freq_corr_pctile
L20_N1001,20,1001,candidate,candidate_neurons,-0.026561185717582703,-0.0003738818923011422,0.019517838954925537,27.400000000000002
L20_N1399,20,1399,candidate,candidate_neurons,0.04857252910733223,0.0008865193231031299,0.02530709095299244,44.800000000000004
L20_N2742,20,2742,candidate,candidate_neurons,0.11765200644731522,0.002191920066252351,0.02583272010087967,83.5
L20_N3833,20,3833,candidate,candidate_neurons_bf16,-0.022529639303684235,-0.00035013569868169725,0.021548990160226822,23.1
L20_N4253,20,4253,candidate,candidate_neurons_bf16,-0.2612478733062744,-0.004372722003608942,0.02320832945406437,99.5
L20_N4769,20,4769,candidate,candidate_neurons,0.12530148029327393,0.0022445968352258205,0.024838587269186974,85.8
L20_N5554,20,5554,candidate,candidate_neurons_bf16,-0.019365457817912102,-0.00035327524528838694,0.02529473975300789,20.200000000000003
L20_N5595,20,5595,candidate,candidate_neurons,0.1713341474533081,0.00252268323674798,0.020415665581822395,95.1
L20_N9252,20,9252,candidate,candidate_neurons_bf16,-0.1448102742433548,-0.0017779869958758354,0.017024485394358635,90.7
L20_N10638,20,10638,candidate,candidate_neurons_bf16,0.07644069939851761,0.0012710219016298652,0.023055424913764,65.7
L20_N10757,20,10757,candidate,candidate_neurons_bf16,0.017791125923395157,0.00031756795942783356,0.024750161916017532,18.9
L20_N12270,20,12270,candidate,candidate_neurons_bf16,0.14185966551303864,0.0026582689024508,0.025982726365327835,90.60000000000001
L20_N12894,20,12894,candidate,candidate_neurons,-0.00760435638949275,-0.00010745533654699102,0.01959342323243618,7.7
L21_N3481,21,3481,candidate,candidate_neurons_bf16,-0.025445591658353806,-0.000399470969568938,0.02176794596016407,26.0
L21_N5643,21,5643,candidate,candidate_neurons_bf16,0.08574242144823074,0.0014845033874735236,0.024006575345993042,71.3
L21_N5870,21,5870,candidate,candidate_neurons_bf16,0.12179118394851685,0.002038164297118783,0.02320428192615509,85.0
L21_N6169,21,6169,candidate,candidate_neurons_bf16,0.028356604278087616,0.0004501696093939245,0.022012365981936455,28.999999999999996
L21_N9298,21,9298,candidate,candidate_neurons_bf16,0.011851150542497635,0.00017949148605111986,0.021000424399971962,12.3
L21_N10092,21,10092,candidate,candidate_neurons_bf16,0.03530460596084595,0.00048590885126031935,0.01908394880592823,34.1
L21_N12508,21,12508,candidate,candidate_neurons_bf16,-0.13731972873210907,-0.0022818027064204216,0.023040393367409706,89.4
L22_N623,22,623,candidate,candidate_neurons_bf16,-0.02597658894956112,-0.00040850089862942696,0.02180497720837593,26.700000000000003
L22_N9335,22,9335,candidate,candidate_neurons_bf16,-0.11178047955036163,-0.001758344704285264,0.021811364218592644,81.5
L23_N9479,23,9479,candidate,candidate_neurons_bf16,-0.18852238357067108,-0.0028645785059779882,0.021068936213850975,96.5
L23_N12156,23,12156,candidate,candidates_old15,-0.02259068377315998,-0.0002970644272863865,0.01823333278298378,23.200000000000003
L23_N12855,23,12855,candidate,candidate_neurons,0.038417235016822815,0.0005465795984491706,0.019727502018213272,36.4
L23_N13240,23,13240,candidate,candidate_neurons_bf16,-0.1389942169189453,-0.0024733408354222775,0.024673573672771454,90.10000000000001
