neuron_id,condition,arm,n,clamp_value,hedge_rate_clean,hedge_rate,hedge_delta,n_gained_hedge,n_lost_hedge,hedge_delta_p,changed_rate,mean_edit_ratio,first_token_flip_rate,hedge_delta_interaction
L31_N11541,mean,uncertain,120,-0.18215215773809523,0.075,0.08333333333333333,0.008333333333333331,1,0,1.0,0.15,0.9467774950249236,0.0,0.008333333333333331
L31_N11541,mean,control,120,-0.18215215773809523,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.13333333333333333,0.9789879147290862,0.008333333333333333,0.008333333333333331
L31_N11541,minus2,uncertain,120,-3.0291510171148293,0.075,0.075,0.0,0,0,1.0,0.23333333333333334,0.9256126184468094,0.0,0.008333333333333333
L31_N11541,minus2,control,120,-3.0291510171148293,0.008333333333333333,0.0,-0.008333333333333333,0,1,1.0,0.23333333333333334,0.9516933319592144,0.0,0.008333333333333333
L31_N11541,plus2,uncertain,120,2.6648467016386386,0.075,0.075,0.0,0,0,1.0,0.25,0.9289278900941983,0.016666666666666666,0.0
L31_N11541,plus2,control,120,2.6648467016386386,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.175,0.9625291228878478,0.008333333333333333,0.0
L31_N2477,mean,uncertain,120,-0.5890146891276041,0.075,0.075,0.0,0,0,1.0,0.10833333333333334,0.9733955149325187,0.0,0.008333333333333333
L31_N2477,mean,control,120,-0.5890146891276041,0.008333333333333333,0.0,-0.008333333333333333,0,1,1.0,0.15,0.9697283118183144,0.0,0.008333333333333333
L31_N2477,minus2,uncertain,120,-2.7249258803833696,0.075,0.075,0.0,0,0,1.0,0.10833333333333334,0.97051079537912,0.0,0.008333333333333333
L31_N2477,minus2,control,120,-2.7249258803833696,0.008333333333333333,0.0,-0.008333333333333333,0,1,1.0,0.10833333333333334,0.9822045904679072,0.0,0.008333333333333333
L31_N2477,plus2,uncertain,120,1.5468965021281615,0.075,0.075,0.0,0,0,1.0,0.16666666666666666,0.953694261045231,0.0,0.0
L31_N2477,plus2,control,120,1.5468965021281615,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.19166666666666668,0.9633328581865864,0.016666666666666666,0.0
L31_N4012,mean,uncertain,120,0.03326279776436942,0.075,0.075,0.0,0,0,1.0,0.016666666666666666,0.9953539150907571,0.0,0.0
L31_N4012,mean,control,120,0.03326279776436942,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.03333333333333333,0.9992201349583121,0.008333333333333333,0.0
L31_N4012,minus2,uncertain,120,-0.02832363769276776,0.075,0.075,0.0,0,0,1.0,0.03333333333333333,0.9889355477438184,0.0,0.0
L31_N4012,minus2,control,120,-0.02832363769276776,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.025,0.9992965875577003,0.0,0.0
L31_N4012,plus2,uncertain,120,0.0948492332215066,0.075,0.075,0.0,0,0,1.0,0.025,0.9931145611994209,0.0,0.0
L31_N4012,plus2,control,120,0.0948492332215066,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.03333333333333333,0.9980628506281979,0.0,0.0
L31_N409,mean,uncertain,120,-0.5068708147321429,0.075,0.075,0.0,0,0,1.0,0.041666666666666664,0.9890331908414615,0.0,0.0
L31_N409,mean,control,120,-0.5068708147321429,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.041666666666666664,0.9947718210469352,0.0,0.0
L31_N409,minus2,uncertain,120,-0.7835074854815351,0.075,0.075,0.0,0,0,1.0,0.05,0.9775618546467143,0.0,0.0
L31_N409,minus2,control,120,-0.7835074854815351,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.058333333333333334,0.9973397191258264,0.008333333333333333,0.0
L31_N409,plus2,uncertain,120,-0.23023414398275072,0.075,0.075,0.0,0,0,1.0,0.025,0.9951237125124883,0.0,0.0
L31_N409,plus2,control,120,-0.23023414398275072,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.041666666666666664,0.9980754611058047,0.0,0.0
L31_N6772,mean,uncertain,120,-0.020565566562470935,0.075,0.075,0.0,0,0,1.0,0.025,0.994825015496082,0.0,0.0
L31_N6772,mean,control,120,-0.020565566562470935,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.025,0.996114872819848,0.0,0.0
L31_N6772,minus2,uncertain,120,-0.08585407647892546,0.075,0.075,0.0,0,0,1.0,0.008333333333333333,0.9977422003284072,0.0,0.0
L31_N6772,minus2,control,120,-0.08585407647892546,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.05,0.9878104475576495,0.0,0.0
L31_N6772,plus2,uncertain,120,0.04472294335398358,0.075,0.075,0.0,0,0,1.0,0.03333333333333333,0.9876547910844784,0.0,0.0
L31_N6772,plus2,control,120,0.04472294335398358,0.008333333333333333,0.008333333333333333,0.0,0,0,1.0,0.05,0.9911696303092775,0.008333333333333333,0.0
