category,n_uncertain,n_control,uncertain_mean_entropy,control_mean_entropy,uncertain_median_entropy,control_median_entropy,gap_entropy,welch_p_entropy,mannwhitney_p_entropy,cohens_d_entropy,uncertain_mean_top1_prob,control_mean_top1_prob,uncertain_median_top1_prob,control_median_top1_prob,gap_top1_prob,welch_p_top1_prob,mannwhitney_p_top1_prob,cohens_d_top1_prob,uncertain_mean_top1_working,control_mean_top1_working,uncertain_mean_top1_held_out,control_mean_top1_held_out
ambiguity,120,120,5.24068268140157,5.245711427927017,5.215315341949463,5.217767000198364,-0.005028746525447048,0.9515541886665222,0.9163259133403023,-0.007851926214653852,0.2001593773563703,0.21642072026928266,0.17745448648929596,0.20145118981599808,-0.01626134291291237,0.16039172324555384,0.06882903602802119,-0.1817932692786179,0.1892338398666609,0.22124435504277548,0.2256522981656922,0.2051655724644661
lack_of_knowledge,120,120,4.585831356048584,4.503023233016332,4.300519943237305,4.35982084274292,0.08280812303225193,0.3187328889897522,0.2292939182523024,0.1289907579405937,0.251259552128613,0.27333812676370145,0.2274916172027588,0.25754816830158234,-0.022078574635088444,0.0712411725792083,0.0002022009292170058,-0.23396330423167044,0.25644972503540064,0.2707974935571353,0.23914914867944187,0.27926627091235584
contradictory_context,120,120,1.4202157302449148,0.593547570767502,1.372465968132019,0.5517450869083405,0.8266681594774128,9.917810904824109e-23,6.074393206488164e-24,1.4803166146303965,0.8006890344123045,0.9346510668595632,0.8301949203014374,0.9456731677055359,-0.13396203244725868,3.252433380761704e-20,2.6305708876857333e-24,-1.3932115101148432,0.8020956839124361,0.9308725176822572,0.7974068522453308,0.9434676816066107
