neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split
L30_N1457,30,1457,ambiguity,amb_ctrl_0000,1.955470323562622,2.0641632080078125,0.10869288444519043,0.6599143743515015,0.6360806226730347,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0001,0.23500648140907288,0.23418676853179932,-0.0008197128772735596,0.9703224301338196,0.9704408645629883,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0002,2.8832173347473145,2.923311471939087,0.04009413719177246,0.24949055910110474,0.22993847727775574,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0003,2.5126793384552,2.5680651664733887,0.05538582801818848,0.3578467071056366,0.3329455852508545,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0004,0.7819246053695679,0.7881152629852295,0.006190657615661621,0.8832935690879822,0.8820145726203918,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0005,2.6810011863708496,2.6800289154052734,-0.0009722709655761719,0.2559022605419159,0.2555656433105469,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0006,0.2504851818084717,0.2370888739824295,-0.013396307826042175,0.9627345204353333,0.9650112986564636,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0007,3.095259666442871,3.0826492309570312,-0.012610435485839844,0.2582548260688782,0.2602459490299225,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0008,0.980278491973877,0.922076404094696,-0.05820208787918091,0.7507448196411133,0.772300660610199,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0009,4.418984889984131,4.4178314208984375,-0.0011534690856933594,0.2661050856113434,0.266386479139328,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0010,2.453826427459717,2.458296775817871,0.004470348358154297,0.30861034989356995,0.3156377375125885,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0011,3.936030864715576,3.9340457916259766,-0.0019850730895996094,0.3621361255645752,0.36336034536361694,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0012,0.34100571274757385,0.34212225675582886,0.0011165440082550049,0.9622004628181458,0.9619258642196655,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0013,0.5203536748886108,0.48705190420150757,-0.03330177068710327,0.8422694802284241,0.8578341007232666,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0014,3.217599868774414,3.213099479675293,-0.004500389099121094,0.43694955110549927,0.4390011131763458,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0015,5.039484977722168,5.079702377319336,0.04021739959716797,0.10910574346780777,0.10478608310222626,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0016,0.8798140287399292,0.8802058696746826,0.00039184093475341797,0.800051748752594,0.8000137805938721,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0017,1.1103540658950806,1.0888773202896118,-0.02147674560546875,0.4890563189983368,0.47689029574394226,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0018,2.8855695724487305,2.886627435684204,0.0010578632354736328,0.29828912019729614,0.29824262857437134,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0019,2.022185802459717,2.0307579040527344,0.008572101593017578,0.3738114833831787,0.3716474175453186,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0020,1.6546120643615723,1.6587575674057007,0.004145503044128418,0.6247479319572449,0.6236476302146912,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0021,2.798386573791504,2.797222137451172,-0.0011644363403320312,0.38447508215904236,0.38452085852622986,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0022,1.4229671955108643,1.4296197891235352,0.0066525936126708984,0.6709012389183044,0.6696242094039917,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0023,1.6184970140457153,1.664981484413147,0.04648447036743164,0.48546314239501953,0.4791548550128937,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0024,1.7062790393829346,1.7215218544006348,0.015242815017700195,0.5604472756385803,0.5566564798355103,0.22265625,control
L30_N1457,30,1457,ambiguity,amb_ctrl_0025,2.656043291091919,2.653676986694336,-0.002366304397583008,0.20931462943553925,0.20390728116035461,0.22265625,control
