neuron_id,category,is_control_neuron,n_unc,n_ctrl,H_unc,H_ctrl,raw_inter,raw_p,ancova_arm,ancova_p,ancova_H,ancova_H_p,slope_H_unc,matched_window,matched_n_unc,matched_n_ctrl,matched_inter,matched_p,strat_inter,strat_p,strat_bins,ancova_fdr,raw_fdr,strat_fdr
L16_N11414,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.0014570979375864881,0.5234478676560373,-0.0014170837859872366,0.8059154527015159,0.0022782408221653392,0.5836587523265329,0.06606692223228217,"[0.65,0.09]",0,0,,,0.002146696769877469,0.6766467065868264,1,False,False,False
L16_N13825,conflict,True,184,184,1.3034246359830317,0.04184522101934852,0.0041177526501957286,0.051611690058788094,0.006169422155466684,0.238744377045639,-0.0016262705945705425,0.6363294232989725,-0.04189478145287126,"[0.65,0.09]",0,0,,,0.007412049777762233,0.17365269461077845,1,False,False,False
L16_N17870,conflict,True,184,184,1.3034246359830317,0.04184522101934852,0.004214873687695444,0.07583846771939441,0.01418985130250993,0.022922471306224115,-0.007906737773699041,0.06715111157211644,-0.07698768466752484,"[0.65,0.09]",0,0,,,0.013587597942753113,0.013972055888223553,1,False,False,False
L16_N5504,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.0024839058429358294,0.25295784976543406,0.000580755227980963,0.9201197163113487,0.001508546027607503,0.702384763894532,0.05027460514082482,"[0.65,0.09]",0,0,,,0.007645378891400408,0.18962075848303392,1,False,False,False
L16_N819,conflict,True,184,184,1.3034246359830317,0.04184522101934852,0.001933802766070174,0.3925391077437214,-0.0024977149933856427,0.6280863646008659,0.0035126744356266974,0.3253930319395354,0.09347729768257208,"[0.65,0.09]",0,0,,,0.0032638801664811065,0.5209580838323353,1,False,False,False
L17_N4572,conflict,True,184,184,1.3034246359830317,0.04184522101934852,0.004568612668149191,0.03159130693109022,0.006400043457496289,0.29120189921544604,-0.0014516967918344029,0.7124021326031496,-0.025888540001155824,"[0.65,0.09]",0,0,,,0.005301666898075587,0.3652694610778443,1,False,False,False
L17_N6267,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.0028054752348867958,0.20527780761825415,0.002701018695469204,0.6278864029466021,8.279822750642595e-05,0.9837339616723748,0.00266802797095028,"[0.65,0.09]",0,0,,,0.005326684607922662,0.34530938123752497,1,False,False,False
L17_N9538,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.0014617265383094424,0.461331658803248,-0.001720049083538081,0.6978459745211725,0.002522057338688516,0.43377683051105986,0.012051395657953035,"[0.65,0.09]",0,0,,,0.0005520855659368455,0.9001996007984032,1,False,False,False
L17_N9633,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.0025425837682672278,0.19322928167885506,0.002709990140011463,0.5982176183248209,-0.0001326958650074775,0.9684785212956714,-0.03045795777000464,"[0.65,0.09]",0,0,,,0.003997061853651047,0.4151696606786427,1,False,False,False
L18_N11446,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.003446197896901919,0.11017597648165725,0.002589442263764922,0.6357329694617498,0.0006791135167354147,0.8530220733580782,-0.0005162682283138449,"[0.65,0.09]",0,0,,,0.0033755379984950293,0.5349301397205589,1,False,False,False
L18_N14080,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.003611512462888943,0.08732020548275449,-0.0010936558119393801,0.8428235150984464,0.003729585485479545,0.31285558209360054,0.045084878486683626,"[0.65,0.09]",0,0,,,0.00479864480507653,0.3413173652694611,1,False,False,False
L18_N8024,conflict,True,184,184,1.3034246359830317,0.04184522101934852,0.0013047042840377686,0.5172965120819504,0.002491829477631285,0.6028833317865229,-0.000940983325752566,0.767208612872084,-0.002987807491576068,"[0.65,0.09]",0,0,,,0.003619179941103821,0.45708582834331335,1,False,False,False
L19_N12887,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.004858450015391368,0.0125467434051406,0.008859015762505305,0.09278632400052331,-0.0031710772224585585,0.3682032739822455,-0.047309652988677765,"[0.65,0.09]",0,0,,,0.011115801749391493,0.041916167664670656,1,False,False,False
L19_N18841,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.0037740077215422958,0.05052504352746885,0.00044647165866691874,0.9312971903457825,0.002637595400976933,0.43541033724829625,0.05682225347228911,"[0.65,0.09]",0,0,,,0.0008984896632140155,0.8502994011976048,1,False,False,False
L19_N2836,conflict,False,184,184,1.3034246359830317,0.04184522101934852,0.002182513938321238,0.2736531781780547,0.011398996256916066,0.033784297768840885,-0.007305511019978204,0.034527616790882364,-0.16117278213273795,"[0.65,0.09]",0,0,,,0.008151050101508172,0.14570858283433133,1,False,False,False
L24_N2230,conflict,False,184,184,1.3034246359830317,0.04184522101934852,-0.0003560262204562439,0.809668544746292,0.0011301196548395625,0.7787351352423185,-0.0011780042204783331,0.6671928294782414,-0.04243994529097878,"[0.65,0.09]",0,0,,,0.0014574747499928001,0.720558882235529,1,False,False,False
