neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split,is_control,orig_activation,mean_val,mean_source,precision
L31_N12923,31,12923,lack_of_knowledge,lok_0000,4.044427871704102,3.997204542160034,-0.04722332954406738,0.14213667809963226,0.14703090488910675,0.13027599453926086,working,False,-0.75,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0001,2.6345889568328857,2.64275860786438,0.00816965103149414,0.2704528570175171,0.2696022689342499,0.13027599453926086,working,False,-0.55859375,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0002,3.6772189140319824,3.622159481048584,-0.05505943298339844,0.1903911978006363,0.19456233084201813,0.13027599453926086,working,False,-0.83984375,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0003,2.2228846549987793,2.245526075363159,0.022641420364379883,0.3681485950946808,0.35877326130867004,0.13027599453926086,working,False,-0.8984375,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0004,3.0926129817962646,3.035264730453491,-0.05734825134277344,0.28580066561698914,0.2897619307041168,0.13027599453926086,working,False,-0.85546875,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0005,1.8770798444747925,1.820163369178772,-0.05691647529602051,0.4893959164619446,0.5164198279380798,0.13027599453926086,working,False,-0.76953125,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0006,2.4075398445129395,2.3848934173583984,-0.022646427154541016,0.2579793632030487,0.27926796674728394,0.13027599453926086,working,False,-0.83984375,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0007,2.113173007965088,2.135547161102295,0.02237415313720703,0.5010701417922974,0.4937487244606018,0.13027599453926086,working,False,-0.79296875,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0008,3.392334222793579,3.3222975730895996,-0.07003664970397949,0.21907633543014526,0.2317512184381485,0.13027599453926086,working,False,-1.09375,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0009,3.6822702884674072,3.645728826522827,-0.03654146194458008,0.24501986801624298,0.2531116306781769,0.13027599453926086,working,False,-0.609375,0.12044677734375,general_baseline,bf16
L31_N12923,31,12923,lack_of_knowledge,lok_0010,3.358309507369995,3.3326776027679443,-0.02563190460205078,0.18222491443157196,0.1831991970539093,0.13027599453926086,working,False,-0.88671875,0.12044677734375,general_baseline,bf16
