neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split
L29_N10092,29,10092,ambiguity,amb_0000,0.3662698268890381,0.3762969374656677,0.010027110576629639,0.9264712333679199,0.9248142242431641,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0001,1.8094863891601562,1.8134515285491943,0.003965139389038086,0.37762728333473206,0.3774007558822632,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0002,1.3918004035949707,1.411194086074829,0.0193936824798584,0.44581952691078186,0.4431644678115845,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0003,2.0339226722717285,2.0252392292022705,-0.008683443069458008,0.5140929818153381,0.5012332201004028,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0004,0.876939058303833,0.8850463628768921,0.008107304573059082,0.7576162815093994,0.7561405897140503,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0005,1.4546526670455933,1.457087516784668,0.002434849739074707,0.5178636908531189,0.5175972580909729,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0006,0.11889081448316574,0.11797743290662766,-0.0009133815765380859,0.9852386116981506,0.9854318499565125,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0007,0.6864683628082275,0.6876972913742065,0.001228928565979004,0.846850574016571,0.8467283248901367,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0008,1.2104666233062744,1.2301499843597412,0.019683361053466797,0.7396060824394226,0.736239492893219,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0009,0.2950160503387451,0.30195796489715576,0.0069419145584106445,0.9578433036804199,0.9563823938369751,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0010,0.6710743308067322,0.6742343902587891,0.0031600594520568848,0.873877227306366,0.8734739422798157,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0011,0.8978927135467529,0.9044358134269714,0.006543099880218506,0.48528268933296204,0.4847230315208435,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0012,1.1442832946777344,1.1642582416534424,0.019974946975708008,0.5872636437416077,0.5592250227928162,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0013,2.0501976013183594,2.053983688354492,0.0037860870361328125,0.35530850291252136,0.3546614646911621,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0014,0.761101484298706,0.7758107781410217,0.014709293842315674,0.8639847636222839,0.8615859746932983,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0015,1.2262729406356812,1.240032434463501,0.013759493827819824,0.4996010959148407,0.49659472703933716,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0016,0.8115596771240234,0.8123025298118591,0.0007428526878356934,0.6088548302650452,0.6088019013404846,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0017,2.3558125495910645,2.296191692352295,-0.05962085723876953,0.39323946833610535,0.4145886301994324,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0018,1.8969521522521973,1.898661494255066,0.0017093420028686523,0.4428832232952118,0.44204843044281006,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0019,2.6388611793518066,2.638606548309326,-0.00025463104248046875,0.26461437344551086,0.25969526171684265,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0020,1.2957327365875244,1.3070755004882812,0.011342763900756836,0.4815310537815094,0.47968655824661255,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0021,2.1131601333618164,2.134206771850586,0.02104663848876953,0.42040491104125977,0.4110191762447357,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0022,0.4330230951309204,0.435354620218277,0.0023315250873565674,0.9126415848731995,0.9122828841209412,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0023,2.496356725692749,2.5018718242645264,0.005515098571777344,0.3562780022621155,0.3478287160396576,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0024,0.4288303852081299,0.4510040283203125,0.022173643112182617,0.9133946299552917,0.9063414335250854,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0025,1.7277146577835083,1.7311642169952393,0.003449559211730957,0.6181887984275818,0.6178678870201111,0.1435546875,working
L29_N10092,29,10092,ambiguity,amb_0026,1.039846420288086,1.04261314868927,0.002766728401184082,0.6612857580184937,0.660953164100647,0.1435546875,working
