neuron_id,working_mean_shift,working_p,working_n,heldout_mean_shift,heldout_p,heldout_n,replicates
L30_N5509,-0.00027796874443689984,0.09183514077356264,84,0.005624612172444661,0.8950681856949814,36,False
L29_N9228,0.00209308069731508,0.006627571275202243,84,-0.004581889344586266,0.7740053430898115,36,False
L26_N11322,-0.00011909549080190205,0.3071175467770785,84,0.007306243396467633,0.6246803064132109,36,False
L29_N10092,0.00124169070096243,0.002284701120863733,84,-0.00527758068508572,0.8950681856949814,36,False
L30_N7102,-8.059204334304446e-05,0.14474438246123322,84,0.004209940632184346,0.7978891460807063,36,False
L24_N7891,-0.0034472974283354624,0.019378475456255716,84,0.003472008638911777,0.80990211723838,36,False
L30_N13513,-0.0025217306046258835,0.9715389393461555,84,0.0021963024304972757,0.7978891460807063,36,False
L30_N6621,0.00047200323925131844,0.7145876549349535,84,0.00416929895679156,0.42303156715934165,36,False
L30_N3533,0.0002476864804824193,0.01921244521642189,84,0.0013115650249852075,0.2515454127569683,36,False
L29_N11308,0.0026434710515396936,0.024879542095286377,84,-0.00023124035861757066,0.3542106300010346,36,False
L29_N10191,0.0013260668409722193,0.678318131934897,84,0.008647055675586065,0.508866571035469,36,False
L31_N2477,-0.009301964548372087,0.0034377736968722043,84,-0.008153755217790604,0.2581243624736089,36,False
L29_N8568,-0.0003318910797437032,0.34214652982325955,84,0.013469905489020877,0.31492819578852504,36,False
L26_N2788,0.0002258211551677613,0.907688834317416,84,0.007555388742023044,0.26481863399385475,36,False
L23_N12156,0.0004808841539280755,0.6881404104524911,84,0.01061447999543614,0.1568159700545948,36,False
