twin,layer,d_hedge_lp,d_answer_lp,d_hedge_mlogit,d_answer_mlogit,gap
ale_01_0,24,-0.37915515899658203,-0.26301097869873047,-0.3367187976837158,-0.5319010615348816,-0.11614418029785156
ale_01_0,25,0.7522392272949219,-1.9285812377929688,-0.690234363079071,-1.1845703721046448,2.6808204650878906
ale_01_0,26,-0.12938785552978516,-3.0214309692382812,-0.7046874761581421,-0.8883463144302368,2.892043113708496
ale_01_0,27,4.53904914855957,-0.8318500518798828,0.6398439407348633,0.27994823455810547,5.370899200439453
ale_01_1,24,-0.9678859710693359,0.6151227951049805,-0.5425782203674316,-0.8723959922790527,-1.5830087661743164
ale_01_1,25,0.6108732223510742,2.279407501220703,-0.5496094226837158,-0.771158829331398,-1.668534278869629
ale_01_1,26,0.6900177001953125,1.7656059265136719,-0.00595700740814209,-0.2464192807674408,-1.0755882263183594
ale_01_1,27,3.1363182067871094,3.4502925872802734,0.47695302963256836,-0.27604198455810547,-0.31397438049316406
ale_01_3,24,1.0531225204467773,3.9069929122924805,0.8335937261581421,0.5859375149011612,-2.853870391845703
ale_01_3,25,2.1025705337524414,3.19113826751709,-0.3623046875,-1.0309245586395264,-1.0885677337646484
ale_01_3,26,-0.6758890151977539,-1.1341590881347656,-0.5562500357627869,-0.9749349355697632,0.4582700729370117
ale_01_3,27,5.354785442352295,0.8223772048950195,1.3359375,1.169271469116211,4.532408237457275
ale_01_5,24,0.6770076751708984,0.11384201049804688,0.4452148526906967,-0.286458320915699,0.5631656646728516
ale_01_5,25,1.5339860916137695,-1.0288381576538086,-0.6701171770691872,-1.8404947519302368,2.562824249267578
ale_01_5,26,-0.42910099029541016,-3.4705004692077637,-0.8148437365889549,-1.7805989980697632,3.0413994789123535
ale_01_5,27,5.1892571449279785,0.11741209030151367,1.1781249046325684,-0.03385448455810547,5.071845054626465
ale_05_0,24,-1.349508285522461,-2.0051450729370117,-2.137304663658142,-2.6394855976104736,0.6556367874145508
