arm,n,hedge_n,hedge_rate,qualifier_n,qualifier_rate,either_rate
control,390,0,0.0,2,0.005128205128205128,0.005128205128205128
uncertain,390,0,0.0,80,0.20512820512820512,0.20512820512820512
