neuron_id,score_all,cos_out_with_direction,corr_act_with_prev_direction
L17_N5607,-0.45848599076271057,-0.17001165449619293,0.3743784748274184
L14_N4109,0.2884470820426941,0.19884222745895386,0.09785318683843246
L18_N8429,-0.28765279054641724,-0.11918680369853973,0.17135818488680898
L18_N6394,-0.25989407300949097,0.059511806815862656,-0.24048842477775467
L16_N12347,0.25967419147491455,-0.0015595984878018498,0.1922698750561714
L17_N11316,-0.23679089546203613,-0.06623285263776779,0.641123809860354
L24_N10925,-0.23314134776592255,-0.045084934681653976,-0.029948929814854332
L17_N2810,0.22693176567554474,0.0165376216173172,0.5002563041820347
L14_N3405,0.21074283123016357,-0.2625673711299896,-0.14880197996343195
L16_N9086,-0.1946725994348526,0.05290045589208603,0.5880526383445384
L20_N8953,0.18115143477916718,-0.03115498460829258,-0.10541752964289369
L16_N1227,0.17016133666038513,-0.03017108328640461,-0.13775343729878547
L13_N2212,-0.1672208607196808,-0.08262068778276443,-0.25412020313274064
L17_N9172,-0.1663925051689148,0.13267795741558075,-0.47913247903602374
L14_N1518,-0.16448593139648438,0.08788183331489563,0.3631332351324854
L21_N6349,-0.15774491429328918,-0.05266812816262245,-0.17484861393624282
L22_N11208,-0.15195605158805847,-0.0613623782992363,-0.04765930910468494
L21_N8761,-0.14785782992839813,0.07940683513879776,0.07353233576309115
L20_N12078,0.1424480825662613,-0.048290785402059555,0.268340710942341
L15_N11966,-0.1369856894016266,0.06768668442964554,0.004475920402088594
L17_N8326,-0.1353522092103958,-0.0919186919927597,0.5408703480417593
L16_N6443,0.12939919531345367,-0.015208487398922443,-0.49685777882256965
L17_N10831,0.12814335525035858,0.13264642655849457,-0.13278995854622502
L24_N6721,0.1250036656856537,0.05124913528561592,0.07011849451997225
L20_N9082,-0.1180417537689209,-0.05845083296298981,-0.07387768380338726
L16_N9686,-0.11638053506612778,0.05118253827095032,-0.04675851329682724
L13_N5122,-0.11575045436620712,0.10634668916463852,-0.15015370356500027
L16_N14010,0.11526663601398468,0.13608185946941376,0.7149886786476529
L19_N9441,0.1101946085691452,0.016506362706422806,-0.037713257378713984
L21_N4332,0.10882866382598877,0.01587597280740738,-0.07628607522512018
L18_N2546,-0.10881496965885162,-0.07191722840070724,0.28830599450043637
L19_N12457,-0.10838635265827179,0.016555745154619217,0.4249482389578893
L22_N3334,0.1081242710351944,-0.037414226680994034,0.2083130864902846
L18_N7056,0.10773932933807373,-0.02149256505072117,-0.2740857755314759
L21_N4937,-0.10698489844799042,0.06544125825166702,0.10164744609823947
L15_N10424,0.10264497995376587,-0.17584888637065887,-0.20135639974124797
L17_N10179,-0.10239696502685547,0.04129170998930931,-0.19983517675828513
L18_N2351,0.09920445084571838,-0.03899248689413071,0.14871405769599466
L20_N12816,0.09712967276573181,-0.007864443585276604,0.353212104415958
L19_N11933,0.09397722780704498,0.030657554045319557,-0.1362449480182615
L18_N8841,-0.09365623444318771,0.018163224682211876,-0.027192498387572737
L20_N2452,0.09349463880062103,0.04045436903834343,-0.2756020474316422
L26_N6522,0.0918111801147461,0.06037387624382973,0.16514915911505812
L19_N2045,-0.09084819257259369,-0.03242740035057068,0.17190205843895212
L14_N4914,0.09063123166561127,-0.15905976295471191,-0.4564147142157825
L16_N4434,-0.09062491357326508,-0.01707986183464527,0.03914069511209735
L15_N5228,0.08596150577068329,0.021717939525842667,-0.0931797087636929
L22_N3127,0.08518976718187332,0.03980044275522232,0.18324375841872795
L16_N11339,0.08308054506778717,-0.04330279678106308,-0.0343960044635848
L15_N6388,0.08096261322498322,-0.009168311953544617,0.4170111894816517
