k,n_heads,n_neurons,recovery
5,4,1,0.32612072156462907
10,9,1,0.7135814015679551
20,13,7,0.8212890736452149
40,14,26,0.8435661198653688
60,15,45,0.8563049407176345
80,17,63,0.8710445507786256
100,17,83,0.8657724207849941
120,20,100,0.8235575012530147
