n,cell,direction,metric,recovery,subsample_mean,subsample_lo,subsample_hi,subsample_sd,ci_width,n_total,n_draws
10,circuit,control_to_uncertain,logodds_rec,0.7829148068958668,0.8266690937623198,0.6699533174777301,0.9965462384135075,0.0798446922743461,0.3265929209357774,141,2000
20,circuit,control_to_uncertain,logodds_rec,0.8497860077613432,0.8248823896000049,0.7189747840028929,0.9362583066397848,0.054228223376527614,0.21728352263689188,141,2000
30,circuit,control_to_uncertain,logodds_rec,0.8175406418279444,0.8289106883318923,0.7478840663406222,0.9133399693854901,0.04259310225794538,0.1654559030448679,141,2000
40,circuit,control_to_uncertain,logodds_rec,0.8159346367280638,0.827683691470058,0.761987065314979,0.8923263157529177,0.034055575937068684,0.1303392504379387,141,2000
50,circuit,control_to_uncertain,logodds_rec,0.8212031810227437,0.827292095393927,0.7683822270204776,0.8858804365264015,0.030135346594977002,0.11749820950592382,141,2000
60,circuit,control_to_uncertain,logodds_rec,0.8235575012530147,0.8277075848234225,0.7767994739789701,0.8799260828939874,0.026373000732933798,0.10312660891501735,141,2000
80,circuit,control_to_uncertain,logodds_rec,0.8365936056368366,0.8277074304936336,0.7915523460214481,0.8645310242572561,0.019240491822104112,0.07297867823580806,141,2000
100,circuit,control_to_uncertain,logodds_rec,0.8438418718935643,0.8272955078460362,0.7986504766170518,0.8541233482018936,0.014105207791899721,0.05547287158484182,141,2000
120,circuit,control_to_uncertain,logodds_rec,0.8234864680070382,0.8274580968730537,0.8092403113837541,0.8448678997345485,0.009055574429263856,0.03562758835079438,141,2000
141,circuit,control_to_uncertain,logodds_rec,0.8272279032395313,0.8272279032395313,0.8272279032395313,0.8272279032395313,0.0,0.0,141,1
10,circuit,control_to_uncertain,entropy_rec,0.1615048477790923,-0.06509092111807603,-0.3503478665059529,0.23383918255036557,0.14966613804749498,0.5841870490563185,141,2000
20,circuit,control_to_uncertain,entropy_rec,0.11392202171079306,-0.06146724567319877,-0.25158962256541856,0.13521499248842517,0.09907494700490498,0.3868046150538437,141,2000
30,circuit,control_to_uncertain,entropy_rec,0.06997018002113,-0.06399897520890042,-0.2138335294116109,0.09040042757245743,0.0785584361590706,0.30423395698406835,141,2000
40,circuit,control_to_uncertain,entropy_rec,0.09784754315779383,-0.06239886074549028,-0.18439456637750365,0.07041817293714472,0.06556791659828937,0.2548127393146484,141,2000
50,circuit,control_to_uncertain,entropy_rec,0.10828301255545428,-0.06260678395376745,-0.16784821432154254,0.048445336568377406,0.05548069149557017,0.21629355088991994,141,2000
60,circuit,control_to_uncertain,entropy_rec,0.10145941501643076,-0.06304185969348429,-0.15657231963642998,0.03146325820688405,0.04876314613226865,0.18803557784331404,141,2000
80,circuit,control_to_uncertain,entropy_rec,0.09105779953813145,-0.062480494392550955,-0.1325409143427718,0.010057533015712479,0.035153625056961436,0.14259844735848426,141,2000
100,circuit,control_to_uncertain,entropy_rec,-0.012995147429944683,-0.06324663126925928,-0.11529785549169302,-0.013302480881030651,0.026422761150488187,0.10199537461066237,141,2000
120,circuit,control_to_uncertain,entropy_rec,-0.06566969765122682,-0.062487338250823754,-0.0957487302215184,-0.030372993757427597,0.01698610967638115,0.06537573646409081,141,2000
141,circuit,control_to_uncertain,entropy_rec,-0.062483712224686044,-0.062483712224686044,-0.062483712224686044,-0.062483712224686044,0.0,0.0,141,1
10,circuit,uncertain_to_control,logodds_rec,0.948896094668731,1.034403560287824,0.89757412093336,1.177423109756286,0.07139031721604339,0.27984898882292597,141,2000
