neuron_id,layer,neuron,score_last,score_all,abs_all
L17_N5607,17,5607,-0.08287427574396133,-0.45848599076271057,0.45848599076271057
L14_N4109,14,4109,0.25490719079971313,0.2884470820426941,0.2884470820426941
L18_N8429,18,8429,-0.03649642691016197,-0.28765279054641724,0.28765279054641724
L18_N6394,18,6394,-0.020637284964323044,-0.25989407300949097,0.25989407300949097
L16_N12347,16,12347,0.0015190780395641923,0.25967419147491455,0.25967419147491455
L17_N11316,17,11316,-0.02823042869567871,-0.23679089546203613,0.23679089546203613
L24_N10925,24,10925,-0.014945529401302338,-0.23314134776592255,0.23314134776592255
L17_N2810,17,2810,0.027563076466321945,0.22693176567554474,0.22693176567554474
L14_N3405,14,3405,0.16321894526481628,0.21074283123016357,0.21074283123016357
L16_N9086,16,9086,0.0007671496132388711,-0.1946725994348526,0.1946725994348526
L20_N8953,20,8953,-0.0006850801291875541,0.18115143477916718,0.18115143477916718
L16_N1227,16,1227,0.005844886414706707,0.17016133666038513,0.17016133666038513
L13_N2212,13,2212,0.0012405083980411291,-0.1672208607196808,0.1672208607196808
L17_N9172,17,9172,-0.009307729080319405,-0.1663925051689148,0.1663925051689148
L14_N1518,14,1518,-0.0756162479519844,-0.16448593139648438,0.16448593139648438
L21_N6349,21,6349,0.0012948907678946853,-0.15774491429328918,0.15774491429328918
L22_N11208,22,11208,-0.00265572895295918,-0.15195605158805847,0.15195605158805847
L21_N8761,21,8761,-0.0798162892460823,-0.14785782992839813,0.14785782992839813
L20_N12078,20,12078,0.01607690379023552,0.1424480825662613,0.1424480825662613
L15_N11966,15,11966,-0.018184132874011993,-0.1369856894016266,0.1369856894016266
L17_N8326,17,8326,-0.0045209480449557304,-0.1353522092103958,0.1353522092103958
L16_N6443,16,6443,0.04396955668926239,0.12939919531345367,0.12939919531345367
L17_N10831,17,10831,0.008240707218647003,0.12814335525035858,0.12814335525035858
L24_N6721,24,6721,-8.706063817953691e-05,0.1250036656856537,0.1250036656856537
L20_N9082,20,9082,-0.02633327804505825,-0.1180417537689209,0.1180417537689209
L16_N9686,16,9686,-0.034391313791275024,-0.11638053506612778,0.11638053506612778
L13_N5122,13,5122,-0.0013198452070355415,-0.11575045436620712,0.11575045436620712
L16_N14010,16,14010,0.10396530479192734,0.11526663601398468,0.11526663601398468
L19_N9441,19,9441,0.00898289680480957,0.1101946085691452,0.1101946085691452
L21_N4332,21,4332,0.014475369825959206,0.10882866382598877,0.10882866382598877
L18_N2546,18,2546,-0.012838274240493774,-0.10881496965885162,0.10881496965885162
L19_N12457,19,12457,-0.003827266860753298,-0.10838635265827179,0.10838635265827179
L22_N3334,22,3334,0.017628638073801994,0.1081242710351944,0.1081242710351944
L18_N7056,18,7056,0.020317867398262024,0.10773932933807373,0.10773932933807373
L21_N4937,21,4937,-0.0680781826376915,-0.10698489844799042,0.10698489844799042
L15_N10424,15,10424,0.10327832400798798,0.10264497995376587,0.10264497995376587
L17_N10179,17,10179,0.0004926171386614442,-0.10239696502685547,0.10239696502685547
L18_N2351,18,2351,0.03676389902830124,0.09920445084571838,0.09920445084571838
L20_N12816,20,12816,-0.0011823924724012613,0.09712967276573181,0.09712967276573181
L19_N11933,19,11933,0.01025075651705265,0.09397722780704498,0.09397722780704498
L18_N8841,18,8841,-0.004486524499952793,-0.09365623444318771,0.09365623444318771
L20_N2452,20,2452,0.0027159980963915586,0.09349463880062103,0.09349463880062103
L26_N6522,26,6522,-0.023948848247528076,0.0918111801147461,0.0918111801147461
L19_N2045,19,2045,-0.00043803019798360765,-0.09084819257259369,0.09084819257259369
L14_N4914,14,4914,0.08921083807945251,0.09063123166561127,0.09063123166561127
L16_N4434,16,4434,-7.530730363214388e-05,-0.09062491357326508,0.09062491357326508
L15_N5228,15,5228,-0.002234754618257284,0.08596150577068329,0.08596150577068329
L22_N3127,22,3127,0.007507737725973129,0.08518976718187332,0.08518976718187332
L16_N11339,16,11339,-0.009270906448364258,0.08308054506778717,0.08308054506778717
L15_N6388,15,6388,0.01579901948571205,0.08096261322498322,0.08096261322498322
L16_N2874,16,2874,0.07558897137641907,0.08026017248630524,0.08026017248630524
L12_N10203,12,10203,-0.0034458437003195286,-0.07942218333482742,0.07942218333482742
L16_N13602,16,13602,0.00020549997861962765,0.07821743190288544,0.07821743190288544
L14_N7888,14,7888,-0.06866992264986038,-0.07789088785648346,0.07789088785648346
L14_N7309,14,7309,-0.0006946981884539127,-0.07754560559988022,0.07754560559988022
L24_N679,24,679,-0.01369739044457674,-0.07669888436794281,0.07669888436794281
L23_N2789,23,2789,-0.020487461239099503,-0.07650528848171234,0.07650528848171234
L19_N2223,19,2223,-0.03027753159403801,-0.0762021467089653,0.0762021467089653
L16_N830,16,830,-0.046512991189956665,-0.07556958496570587,0.07556958496570587
L20_N2673,20,2673,-0.0011311023263260722,-0.07553990185260773,0.07553990185260773
L25_N5344,25,5344,-0.07709701359272003,-0.07520796358585358,0.07520796358585358
L16_N2991,16,2991,-0.00788397341966629,-0.0747314915060997,0.0747314915060997
L22_N5788,22,5788,0.004335273988544941,0.07352383434772491,0.07352383434772491
L20_N8899,20,8899,-0.002232431899756193,0.0731891617178917,0.0731891617178917
L14_N4589,14,4589,0.0036819414235651493,0.07318905740976334,0.07318905740976334
L18_N9037,18,9037,0.06505150347948074,0.07287999987602234,0.07287999987602234
L21_N6737,21,6737,-0.0011223370674997568,-0.07286244630813599,0.07286244630813599
L15_N10929,15,10929,-0.004314606077969074,-0.07278338819742203,0.07278338819742203
L15_N12980,15,12980,0.06674831360578537,0.07241576164960861,0.07241576164960861
L16_N3669,16,3669,-0.007535184733569622,-0.0724012479186058,0.0724012479186058
L25_N11944,25,11944,-0.0028939496260136366,0.07187797129154205,0.07187797129154205
L16_N13926,16,13926,-0.0004967436543665826,0.07167894393205643,0.07167894393205643
L14_N11430,14,11430,0.0016012670239433646,-0.07098174840211868,0.07098174840211868
L16_N6901,16,6901,-0.005727030336856842,-0.07087306678295135,0.07087306678295135
L14_N2672,14,2672,0.004331475589424372,0.07056444138288498,0.07056444138288498
L16_N458,16,458,0.07405215501785278,0.06973237544298172,0.06973237544298172
L17_N2578,17,2578,-0.010748907923698425,-0.06844626367092133,0.06844626367092133
L23_N5876,23,5876,0.0034004400949925184,0.06779694557189941,0.06779694557189941
L20_N14269,20,14269,-0.054316990077495575,-0.06735555827617645,0.06735555827617645
L18_N7148,18,7148,0.002432452980428934,0.06583715230226517,0.06583715230226517
L20_N4260,20,4260,0.0030461885035037994,0.06547455489635468,0.06547455489635468
L21_N3112,21,3112,-0.06610334664583206,-0.06442300975322723,0.06442300975322723
L19_N5781,19,5781,-0.0022223812993615866,-0.06427823007106781,0.06427823007106781
L19_N7074,19,7074,0.02107495442032814,0.06401325017213821,0.06401325017213821
L13_N5922,13,5922,0.03950858861207962,0.06312533468008041,0.06312533468008041
L24_N398,24,398,-0.025828734040260315,-0.062060318887233734,0.062060318887233734
L19_N10860,19,10860,-0.015071925707161427,-0.0619848296046257,0.0619848296046257
L17_N9282,17,9282,-0.0059238034300506115,-0.061138004064559937,0.061138004064559937
L25_N1472,25,1472,0.05032140761613846,0.06074871867895126,0.06074871867895126
L17_N13707,17,13707,-0.0015154698630794883,0.06060730293393135,0.06060730293393135
