layer,head,group,mean_score,mean_abs,n
0,0,prefix,-1.0234988781121502e-05,1.0234988781121502e-05,80
0,1,prefix,-3.317363052701694e-06,5.964727233731537e-06,80
0,2,prefix,-2.093725217946485e-05,2.093725217946485e-05,80
0,3,prefix,5.2888321988575624e-08,6.440516040129296e-06,80
0,4,prefix,-5.508641470441944e-06,6.113332824497775e-06,80
0,5,prefix,-6.372472989824019e-06,6.372472989824019e-06,80
0,6,prefix,-9.248732112610014e-07,2.1442605725496832e-05,80
0,7,prefix,-6.380546437867452e-08,3.1618472348782232e-06,80
0,8,prefix,3.219443635771313e-06,3.219443635771313e-06,80
0,9,prefix,4.419656437448793e-06,9.25558710491714e-06,80
0,10,prefix,3.898929742263136e-06,2.569603051369995e-05,80
0,11,prefix,-6.6176685777463716e-06,1.0603506461848156e-05,80
0,12,prefix,4.1202758211511535e-06,1.0732419809755811e-05,80
0,13,prefix,-3.622011291781746e-07,2.148189295780867e-06,80
0,14,prefix,1.2205674593701587e-06,1.3948744097547205e-06,80
0,15,prefix,1.7005846217443832e-06,3.533628782292908e-06,80
0,16,prefix,-6.142394090602465e-06,7.698390027144341e-06,80
0,17,prefix,1.4738434828132085e-07,8.93326732409605e-07,80
0,18,prefix,-5.073876252481568e-07,5.073876252481568e-07,80
0,19,prefix,-6.096015465573146e-06,8.155764669481869e-06,80
0,20,prefix,5.934067405632959e-06,2.0923765475799883e-05,80
0,21,prefix,5.902114935452119e-07,1.1518522626374761e-06,80
0,22,prefix,5.493080720953003e-07,5.493080720953003e-07,80
0,23,prefix,-2.203933934197266e-06,1.2707730331840138e-05,80
0,24,prefix,-9.274750345866778e-06,2.4996502133944887e-05,80
0,25,prefix,-3.5393188568377807e-06,4.425984059253096e-06,80
0,26,prefix,1.060283125298156e-06,2.1087373397676857e-06,80
0,27,prefix,-1.4666665151708002e-06,8.356814703347482e-06,80
0,28,prefix,-8.327077296144126e-07,1.4303149498573475e-06,80
0,29,prefix,-7.87253958378642e-07,1.3595560687917896e-06,80
0,30,prefix,-3.987336333466373e-06,3.987336333466373e-06,80
0,31,prefix,-1.0002549970522523e-06,1.1086085578426719e-06,80
0,0,entity,0.029262925128568894,0.12632634978799615,80
0,1,entity,0.05308159961859928,0.14168336854927474,80
0,2,entity,-0.1394900280283764,0.5590498582227156,80
0,3,entity,0.01607927439181367,0.22103198101540328,80
0,4,entity,-0.007648808640806237,0.023395055077708095,80
0,5,entity,-0.0007980462440173141,0.01861912013264373,80
0,6,entity,0.05984303032200842,0.12180576736318471,80
0,7,entity,0.014025319123902591,0.04987536731205182,80
0,8,entity,0.006483885557099711,0.0345853796825395,80
0,9,entity,0.002766561995667871,0.034420142280578145,80
0,10,entity,0.00325200814040727,0.024167380235303425,80
0,11,entity,-0.010497704823501408,0.10390509797725826,80
0,12,entity,0.040883128386485626,0.05255517149780644,80
0,13,entity,0.003896598920982797,0.0071524278799188325,80
0,14,entity,0.0015889799760770984,0.004940441602229839,80
0,15,entity,0.004436440666904673,0.026067273449734786,80
0,16,entity,-0.0010107020475970784,0.004949584128507922,80
0,17,entity,0.004244327806009096,0.014745299201240413,80
0,18,entity,-0.0008430437113474909,0.0035158263835455726,80
0,19,entity,0.00166022086459634,0.00496817776320313,80
0,20,entity,-0.0006829215981269954,0.020066418384885765,80
0,21,entity,-0.00016147726173585398,0.02317427809148285,80
0,22,entity,-0.00627792410668917,0.013438966052490287,80
0,23,entity,0.003962611523093074,0.10903884428007586,80
0,24,entity,-0.0014509527245536447,0.3197743803058984,80
0,25,entity,0.012957229070161702,0.048105982511333426,80
0,26,entity,0.009160513606911991,0.08929382232599892,80
0,27,entity,-0.01594796622848662,0.0398949679092766,80
