layer,head,attr_score,attr_abs,rec_control_to_uncertain,rec_uncertain_to_control,n_pairs
17,20,-0.7517465907360731,0.9115248299735214,0.19251014583190457,0.34318927558593315,80
31,26,-0.8695086302235723,0.8695086302235723,0.1455556143405234,0.1448655572572117,80
21,9,-0.7049673207782234,0.7127985854548712,0.12459821273131885,0.20765170118507187,80
13,11,-0.3768737921164302,0.6021123870541374,0.11970119321200352,0.17009590444365622,80
15,7,-0.3305752605351244,0.663414146925561,0.11834622295254116,0.15676410253975331,80
31,24,-0.5845759101212025,0.5923093892633915,0.11703898867308501,0.12585472795560043,80
23,30,-0.3274446319940722,0.4005145361273037,0.10467009057494225,0.08251072540870119,80
12,28,-0.27975023844196584,0.43165083115491143,0.07208225648961945,0.04709974965689204,80
13,30,-0.3204448772183127,0.5974773571735454,0.06765255471230563,0.20625723043197022,80
29,0,-0.3642267844962703,0.43983353159759137,0.06586938741584716,0.18143417393733868,80
15,4,-0.07074771371601402,0.44451412166865795,0.05801817473877967,0.21165108152322834,80
12,22,-0.21360094929596302,0.39458446202561676,0.057416047102436064,0.07132904748722524,80
8,19,0.04777898053530408,0.6126144864064826,0.05547776050975452,0.29242256768161523,80
8,16,-0.17619006940715282,0.4692517239871222,0.04294975488033308,-0.00927133291198885,80
13,28,0.14762320546451518,0.46313353627310794,0.04194044370019219,0.002164361292335759,80
7,1,-0.09634169375735838,0.4820852853431916,0.032526445411357977,0.03371255974816338,80
8,6,-0.15049467056210233,0.384845543741767,0.030512640071348275,0.02337006591631392,80
14,24,0.037844800570451295,0.4270932365242288,0.026108144314195725,0.07323964788643664,80
10,27,-0.09324817127527465,0.4230054353735909,0.02451017010920355,0.043460515728479,80
12,31,-0.020229993137456864,0.3966576687829161,0.004944232101544782,0.04332498069178618,80
15,10,0.03905217677863106,0.38810243171679415,-0.011585297659656813,-0.07911980830706036,80
13,0,0.2236224611697935,0.4259686273323268,-0.02144610165941844,-0.03951242927886539,80
0,2,-0.1371831679731713,0.5890923220316836,-0.022740339169287076,0.10971369514010595,80
15,11,0.07045190673890431,0.583203203907695,-0.02862357614452518,0.12752150832784498,80
1,24,-0.06346082957973635,0.4666483484985463,-0.02877602105256507,0.03710269175293555,80
12,30,0.12771191581073255,0.3960736961562816,-0.03561516669102367,-0.0146919523235283,80
12,12,0.11193237228658291,0.4127475494077316,-0.04820511632138836,-0.005372088400683673,80
1,18,0.07060018454072861,0.427886983493147,-0.0485872019183766,0.059282986386498336,80
31,25,0.511163036711514,0.5315663402900099,-0.07272920181423967,-0.1025394735768435,80
15,6,0.3361902977659156,0.7352977250980075,-0.07690380121362513,-0.08676215928638562,80
