neuron_id,inter,dz,n_pairs,z,p_emp,fdr_pass
L31_N11541,0.03115325597807381,0.783121290174403,234,29.37318761950784,0.0196078431372549,False
L30_N1457,0.015643106964536194,0.4310224851808955,234,14.813688099833447,0.0196078431372549,False
L29_N13925,0.0022304539656282417,0.10581416436923552,234,2.2231246742523396,0.058823529411764705,False
L22_N2446,0.0018726272397061668,0.061156630643716674,234,1.887229897249108,0.11764705882352941,False
L29_N10877,-0.0018964784426821622,-0.08079659999107328,234,-1.650859409593631,0.11764705882352941,False
L28_N14222,-0.0019035478815054151,-0.06973459172875444,234,-1.6574955477159456,0.11764705882352941,False
L29_N11791,-0.0015220181522970571,-0.0697711403486982,234,-1.2993505741053015,0.1568627450980392,False
L26_N8053,-0.001715265787564792,-0.06249551288505987,234,-1.4807536573640783,0.1568627450980392,False
L28_N5085,-0.001412254622858816,-0.05625988770418961,234,-1.1963146811078211,0.19607843137254902,False
L30_N11103,-0.0013583296766647832,-0.06736580945139505,234,-1.1456949077242633,0.21568627450980393,False
L31_N5966,0.0012582533825666394,0.08029625718677894,234,1.3105122996221559,0.2549019607843137,False
L31_N7853,0.001071957600677118,0.09852115705420661,234,1.1356349760986726,0.3137254901960784,False
L29_N5866,-0.0009761740509261442,-0.04097151027571119,234,-0.7869624000916029,0.3137254901960784,False
L29_N6625,-0.0009131701742736574,-0.03991113048777743,234,-0.7278201628984682,0.35294117647058826,False
L27_N45,-0.0007831198282730856,-0.03037292093423644,234,-0.6057408747835603,0.45098039215686275,False
L29_N578,-0.000795316046629182,-0.03032858602354006,234,-0.617189561391435,0.45098039215686275,False
L29_N4718,-0.0006912327570538243,-0.03424932516639976,234,-0.5194857544676025,0.5294117647058824,False
L28_N11622,0.0006096577192218945,0.02661881711358907,234,0.7016704219143121,0.5490196078431373,False
L31_N368,-0.0004863790435413914,-0.03866374244583103,234,-0.3271879537898315,0.5490196078431373,False
L29_N3447,-0.0004086044386156599,-0.016956457311947122,234,-0.2541803171726267,0.6274509803921569,False
L30_N13098,-0.00028099723032906074,-0.013965423348656296,234,-0.1343944217480169,0.7254901960784313,False
L29_N12400,0.00015305055894404207,0.00557259681409451,234,0.27304967011219994,0.8235294117647058,False
L31_N14143,-0.00010105290919797745,-0.008679152643622883,234,0.03452073533973467,0.8431372549019608,False
L20_N4060,8.967950239650377e-05,0.0029217782123827293,234,0.2135627582482435,0.8627450980392157,False
L29_N2646,-8.151911071733022e-05,-0.003875308909382906,234,0.052857266429678855,0.8627450980392157,False
L31_N377,-7.329296925638527e-05,-0.007781348101031222,234,0.06057921046418587,0.8627450980392157,False
L31_N4425,4.733337933181508e-05,0.004571520114892595,234,0.17381211769138755,0.8823529411764706,False
