neuron_id,inter,dz,n_pairs,z,p_emp,fdr_pass
L22_N2446,-0.0074016275696265335,-0.18849769816187037,195,-3.4211704313013906,0.009900990099009901,False
L29_N5866,-0.012506832765080963,-0.39072480412442784,195,-6.19585472849271,0.009900990099009901,False
L31_N11541,0.005722376713768014,0.13341789818774513,195,3.711739453266936,0.009900990099009901,False
L30_N1457,0.0064238289896494105,0.16285827888251436,195,4.092979489779117,0.009900990099009901,False
L29_N12400,0.0047279653545373515,0.15687885826543777,195,3.171275852340041,0.04950495049504951,False
L29_N11791,-0.003188458295204715,-0.10762343269778622,195,-1.1313085786268111,0.12871287128712872,False
L31_N14143,-0.002394647571520926,-0.15587985021896358,195,-0.6998716303316446,0.25742574257425743,False
L29_N578,-0.002173849395834486,-0.07504874690588076,195,-0.5798675937708534,0.31683168316831684,False
L31_N4425,0.002082942665005337,0.08249551067979502,195,1.7337032883824117,0.3564356435643564,False
L27_N45,0.00200125356324208,0.059345935078840666,195,1.6893051771926817,0.37623762376237624,False
L30_N11103,-0.001575910242704234,-0.08338608235502747,195,-0.2548870463986128,0.48514851485148514,False
L28_N5085,-0.0011324814210335675,-0.03519140355559653,195,-0.013883023777318506,0.6138613861386139,False
L29_N4718,-0.0009427246374961774,-0.03778210560463541,195,0.08924998408601419,0.6831683168316832,False
L20_N4060,-0.0009526550865326057,-0.02324684723266668,195,0.08385277477698003,0.6831683168316832,False
L31_N377,0.000920340342399407,0.056800218778473695,195,1.1018277251268804,0.693069306930693,False
L31_N7853,0.0008935944774212024,0.049760833345207985,195,1.087291319883875,0.693069306930693,False
L28_N14222,-0.0008175864338110667,-0.026795221653953906,195,0.15726272705136302,0.7029702970297029,False
L26_N8053,0.0007902029519661828,0.02567541776047208,195,1.0310979189999827,0.7425742574257426,False
L28_N11622,-0.0006881916274627066,-0.024006463504091705,195,0.22758893796107915,0.7722772277227723,False
L29_N6625,0.0005822768673682822,0.02130738513759427,195,0.9180898772421402,0.8316831683168316,False
L31_N368,0.00041632504226304235,0.019414874446092596,195,0.8278948888762001,0.8613861386138614,False
L30_N13098,-0.0004287437464182235,-0.01879509241729474,195,0.3685991293074839,0.8613861386138614,False
L29_N13925,0.0004887683937946799,0.018490690711875167,195,0.8672679252645745,0.8613861386138614,False
L29_N3447,-0.0004360959506951944,-0.014359341252697423,195,0.364603198688433,0.8613861386138614,False
L29_N10877,-0.00022422486008743668,-0.008376131555913595,195,0.47975535528765784,0.9207920792079208,False
L31_N5966,-0.00019163684203076734,-0.01008596158118127,195,0.49746697676350704,0.9504950495049505,False
L29_N2646,0.00012597578267257797,0.003724502847360674,195,0.6700897663702327,0.9603960396039604,False
