neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split,is_control,orig_activation,mean_val,mean_source,precision
L31_N11541,31,11541,ambiguity,amb_0000,2.131409168243408,2.170854091644287,0.039444923400878906,0.3043592870235443,0.3168156147003174,0.09356154501438141,working,False,-4.9375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0001,4.559041500091553,4.559088230133057,4.673004150390625e-05,0.1691441833972931,0.16868451237678528,0.09356154501438141,working,False,1.7265625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0002,0.5591363906860352,0.5555456280708313,-0.0035907626152038574,0.7746531963348389,0.7750663757324219,0.09356154501438141,working,False,-6.15625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0003,0.7737653255462646,0.7682884335517883,-0.005476891994476318,0.8860874176025391,0.886944055557251,0.09356154501438141,working,False,-2.78125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0004,3.214151620864868,3.1553897857666016,-0.0587618350982666,0.3810039460659027,0.395158052444458,0.09356154501438141,working,False,1.2734375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0005,0.40345656871795654,0.43939852714538574,0.0359419584274292,0.9331170916557312,0.9258034825325012,0.09356154501438141,working,False,-3.921875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0006,2.6447858810424805,2.645526885986328,0.0007410049438476562,0.3364722430706024,0.3344328701496124,0.09356154501438141,working,False,4.3125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0007,2.73992919921875,2.737605571746826,-0.002323627471923828,0.3336516320705414,0.33403337001800537,0.09356154501438141,working,False,0.7890625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0008,3.0731167793273926,3.08070707321167,0.007590293884277344,0.321990430355072,0.3259439468383789,0.09356154501438141,working,False,6.03125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0009,2.3017964363098145,2.3028721809387207,0.00107574462890625,0.3590010106563568,0.3589414954185486,0.09356154501438141,working,False,-1.59375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0010,3.0725746154785156,3.11074161529541,0.03816699981689453,0.32308200001716614,0.3106774091720581,0.09356154501438141,working,False,1.1875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0011,0.1853773295879364,0.18725824356079102,0.0018809139728546143,0.9783462882041931,0.9780442118644714,0.09356154501438141,working,False,0.8671875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0012,0.2827058434486389,0.27378714084625244,-0.008918702602386475,0.9530503153800964,0.9549910426139832,0.09356154501438141,working,False,-4.6875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0013,2.846848487854004,2.8479866981506348,0.0011382102966308594,0.23987779021263123,0.23954468965530396,0.09356154501438141,working,False,-0.2333984375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0014,1.7274397611618042,1.7281582355499268,0.0007184743881225586,0.6531180739402771,0.6530434489250183,0.09356154501438141,working,False,-0.828125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0015,2.646392345428467,2.6475884914398193,0.001196146011352539,0.2669826149940491,0.2668914496898651,0.09356154501438141,working,False,0.234375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0016,2.1020545959472656,2.0998470783233643,-0.002207517623901367,0.356288343667984,0.35607659816741943,0.09356154501438141,working,False,3.953125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0017,2.545952796936035,2.5763633251190186,0.0304105281829834,0.3178497850894928,0.2860665023326874,0.09356154501438141,working,False,2.234375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0018,2.6739742755889893,2.6755025386810303,0.0015282630920410156,0.5581860542297363,0.5538252592086792,0.09356154501438141,working,False,0.7890625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0019,3.003119945526123,2.9872024059295654,-0.015917539596557617,0.26456767320632935,0.27026358246803284,0.09356154501438141,working,False,5.4375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0020,3.019925832748413,3.069697856903076,0.049772024154663086,0.2309427112340927,0.21084098517894745,0.09356154501438141,working,False,1.625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0021,0.8744735717773438,0.8048403859138489,-0.06963318586349487,0.78462815284729,0.8070611953735352,0.09356154501438141,working,False,-2.34375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0022,1.4463167190551758,1.4545412063598633,0.0082244873046875,0.6989033222198486,0.6969199180603027,0.09356154501438141,working,False,1.40625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0023,2.3588614463806152,2.3571414947509766,-0.0017199516296386719,0.3514297902584076,0.3515377640724182,0.09356154501438141,working,False,-0.75390625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0024,2.423225164413452,2.4233827590942383,0.0001575946807861328,0.163632333278656,0.16732580959796906,0.09356154501438141,working,False,-1.0859375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0025,2.3594460487365723,2.356815814971924,-0.0026302337646484375,0.38730406761169434,0.38792312145233154,0.09356154501438141,working,False,1.703125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0026,3.7028703689575195,3.710718870162964,0.007848501205444336,0.3228043019771576,0.32336944341659546,0.09356154501438141,working,False,2.265625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0027,1.8813252449035645,1.873796820640564,-0.007528424263000488,0.6477286219596863,0.6503636837005615,0.09356154501438141,working,False,-0.62109375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0028,2.591080665588379,2.58958101272583,-0.0014996528625488281,0.5235283970832825,0.5250588655471802,0.09356154501438141,working,False,-0.10107421875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0029,2.0469510555267334,2.047398328781128,0.00044727325439453125,0.5000725388526917,0.5000256299972534,0.09356154501438141,working,False,0.609375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0030,1.3423449993133545,1.393296480178833,0.050951480865478516,0.5465922355651855,0.5152323246002197,0.09356154501438141,working,False,-0.75,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0031,2.5924174785614014,2.576033353805542,-0.016384124755859375,0.2651655673980713,0.26782792806625366,0.09356154501438141,working,False,4.21875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0032,0.7734093070030212,0.7063355445861816,-0.0670737624168396,0.7512880563735962,0.7879384160041809,0.09356154501438141,working,False,-3.8125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0033,0.3125807046890259,0.3077106475830078,-0.004870057106018066,0.9496376514434814,0.9505248665809631,0.09356154501438141,working,False,-2.609375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0034,0.06319817155599594,0.0629953071475029,-0.000202864408493042,0.9920816421508789,0.9921024441719055,0.09356154501438141,working,False,-2.03125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0035,3.2133400440216064,3.212203025817871,-0.0011370182037353516,0.14269918203353882,0.14286568760871887,0.09356154501438141,working,False,-0.111328125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0036,0.27980995178222656,0.27793067693710327,-0.001879274845123291,0.956149697303772,0.9564395546913147,0.09356154501438141,working,False,-1.3671875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0037,2.2706377506256104,2.269120931625366,-0.0015168190002441406,0.2931281328201294,0.2926168739795685,0.09356154501438141,working,False,2.53125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0038,1.907806158065796,1.9074985980987549,-0.0003075599670410156,0.5503026843070984,0.5572888851165771,0.09356154501438141,working,False,4.0,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0039,0.4548197090625763,0.45181363821029663,-0.003006070852279663,0.8976051807403564,0.8979963660240173,0.09356154501438141,working,False,-4.65625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0040,2.049222946166992,1.988276481628418,-0.06094646453857422,0.47096139192581177,0.4881919324398041,0.09356154501438141,working,False,2.09375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0041,0.4766418933868408,0.3743790090084076,-0.10226288437843323,0.9048458933830261,0.9310043454170227,0.09356154501438141,working,False,-3.25,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0042,3.4453678131103516,3.4565038681030273,0.011136054992675781,0.12374655902385712,0.12420282512903214,0.09356154501438141,working,False,-1.125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0043,2.176589012145996,2.172600269317627,-0.003988742828369141,0.3841998279094696,0.38516679406166077,0.09356154501438141,working,False,1.8359375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0044,2.562283515930176,2.561403274536133,-0.0008802413940429688,0.3696751594543457,0.3643374443054199,0.09356154501438141,working,False,1.640625,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0045,2.8056182861328125,2.810197353363037,0.004579067230224609,0.22283335030078888,0.22277095913887024,0.09356154501438141,working,False,-0.89453125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0046,1.8792414665222168,1.8552560806274414,-0.02398538589477539,0.43458327651023865,0.4461367130279541,0.09356154501438141,working,False,-3.5,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0047,3.5664448738098145,3.566535711288452,9.083747863769531e-05,0.1757456362247467,0.17500436305999756,0.09356154501438141,working,False,0.73828125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0048,2.5035877227783203,2.50942325592041,0.005835533142089844,0.38110023736953735,0.37576937675476074,0.09356154501438141,working,False,1.328125,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0049,4.102269172668457,4.112232208251953,0.009963035583496094,0.16889438033103943,0.17043901979923248,0.09356154501438141,working,False,1.5234375,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0050,0.5448554754257202,0.5452646017074585,0.00040912628173828125,0.9203320145606995,0.9202722311019897,0.09356154501438141,working,False,0.2060546875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0051,2.2842979431152344,2.2824597358703613,-0.0018382072448730469,0.3175898790359497,0.31823545694351196,0.09356154501438141,working,False,1.71875,0.15563819521949404,pooled_controls,bf16
L31_N11541,31,11541,ambiguity,amb_0052,2.544663667678833,2.5401394367218018,-0.00452423095703125,0.3059062957763672,0.30879369378089905,0.09356154501438141,working,False,-0.4453125,0.15563819521949404,pooled_controls,bf16
