layer,cos,ci_lo,ci_hi,boot_mean
20,0.677042,0.443170,0.745190,0.619225
21,0.662990,0.421227,0.737736,0.605134
22,0.644099,0.384602,0.726214,0.582069
23,0.622483,0.344050,0.721652,0.560045
24,0.582726,0.284502,0.701915,0.520067
25,0.587846,0.290561,0.712047,0.528993
26,0.580697,0.269093,0.714878,0.521570
27,0.573326,0.261937,0.703173,0.512428
28,0.589206,0.279574,0.714899,0.527353
29,0.592741,0.307253,0.695874,0.528760
30,0.606681,0.344610,0.690471,0.541585
31,0.663206,0.457043,0.700453,0.594536
