layer,cos,null_mean,null_sd,null_p95,null_p99,null_max,p_one_sided,p_two_sided
20,0.677042,0.00300139,0.290102,0.476495,0.591617,0.751001,0.00119988,0.0019998
21,0.66299,0.00318399,0.288479,0.473687,0.594631,0.752932,0.00129987,0.00249975
22,0.644099,0.00321929,0.280705,0.45948,0.58638,0.739877,0.00169983,0.00329967
23,0.622483,0.00357739,0.284928,0.468107,0.592074,0.746055,0.00419958,0.00719928
24,0.582726,0.00383757,0.283706,0.463734,0.583808,0.735991,0.0107989,0.0180982
25,0.587846,0.00384056,0.294874,0.482179,0.606068,0.755059,0.0136986,0.0236976
26,0.580697,0.00398665,0.303681,0.496581,0.617497,0.764153,0.0179982,0.0321968
27,0.573326,0.0040696,0.294783,0.482637,0.604887,0.754506,0.0164984,0.0289971
28,0.589206,0.00407699,0.30131,0.491359,0.612791,0.761728,0.0158984,0.0272973
29,0.592741,0.00368593,0.278676,0.455076,0.576952,0.732269,0.00769923,0.0121988
30,0.606681,0.00311988,0.266719,0.436374,0.55655,0.712359,0.00239976,0.00449955
31,0.663206,0.00200836,0.245981,0.406873,0.521188,0.697655,0.00029997,0.00029997
